post_code,neighbourhood,total_residents,0-6,6-15,15-18,18-27,27-45,45-55,55-65,65+,including_female
13597,Spandau,11116,724,1143,339,1320,2995,1274,1514,1807,5524
13599,Reinickendorf,103,3,6,–,9,18,7,27,33,36
13599,Spandau,20458,1535,2001,589,2251,5834,2367,2481,3400,10556
13627,Charlbg.-Wilmersd.,19543,1062,1685,593,2055,5051,2439,2601,4057,9941
13627,Mitte,6,–,–,–,–,–,–,6,–,3
13627,Spandau,14,–,–,–,4,–,7,3,–,7
13629,Charlbg.-Wilmersd.,103,3,6,–,9,34,9,9,33,49
13629,Reinickendorf,889,43,70,13,54,166,89,170,284,424
13629,Spandau,12960,766,1107,361,1489,3849,1536,1701,2151,6353
14050,Charlbg.-Wilmersd.,11251,475,728,219,1167,2594,1153,1687,3228,5927
14052,Charlbg.-Wilmersd.,12835,568,898,313,1228,2861,1438,1874,3655,6780
14053,Charlbg.-Wilmersd.,215,3,25,10,42,31,31,16,57,125
14055,Charlbg.-Wilmersd.,11679,467,897,378,1471,2263,1220,1727,3256,6016
14057,Charlbg.-Wilmersd.,14688,639,879,309,1466,3867,1635,2197,3696,7790
14059,Charlbg.-Wilmersd.,23741,1198,1743,545,2640,7161,2692,3080,4682,12323
14089,Spandau,20078,930,2163,727,1498,3246,2567,3327,5620,10237
14109,Steglitz-Zehlend.,11252,447,1170,407,795,1789,1406,1871,3367,5816
14129,Steglitz-Zehlend.,15455,581,1318,475,2025,2649,1786,2247,4374,8006
14163,Steglitz-Zehlend.,16997,730,1548,514,1454,2900,2011,2820,5020,9051
14165,Steglitz-Zehlend.,15542,669,1292,467,1307,2937,1858,2438,4574,8359
14167,Steglitz-Zehlend.,18881,890,1741,569,1655,3877,2316,2946,4887,9824
14169,Steglitz-Zehlend.,18452,737,1484,524,1842,3559,2075,2950,5281,10047
14193,Charlbg.-Wilmersd.,18121,908,1438,417,1567,3875,2209,2608,5099,9563
14193,Steglitz-Zehlend.,12,3,–,–,–,6,–,–,3,6
14195,Charlbg.-Wilmersd.,1323,66,101,24,137,204,179,256,356,714
14195,Steglitz-Zehlend.,15666,721,1509,596,1538,2800,2028,2468,4006,8200
14197,Charlbg.-Wilmersd.,17047,679,1152,391,1361,3769,1920,2757,5018,9148
14197,Steglitz-Zehlend.,391,16,21,7,42,102,37,57,109,222
14197,Tempelh.-Schöneb.,1407,98,98,27,168,421,143,176,276,710
14199,Charlbg.-Wilmersd.,17588,823,1421,490,1564,4249,2007,2342,4692,9495
14199,Steglitz-Zehlend.,30,–,3,–,–,12,3,3,9,21
,Berlin,3897145,208938,322476,102426,392794,1149798,467699,514776,738238,1966495
