pharmacy_id,district_id,name,street,housenumber,postal_code,district,neighborhood,phone_number,website,services_offered,openinghours,wheelchair_accessible,latitude,longitude,coordinates
573452398,11011011,apotheke in der volkradstraße,nan,nan,nan,Lichtenberg,Friedrichsfelde,,nan,,mo-fr 08:30-18:30; sa 08:30-13:00,yes,52.499528,13.5073798,POINT(13.5073798 52.499528)
576608994,11001001,apotheke im gesundbrunnen-center,badstraße,4,13357,Mitte,Gesundbrunnen,+493049760419,https://www.premium-apotheken-berlin.de/,dispensing_yes,mo-sa 09:00-20:00,yes,52.5499687,13.3891501,POINT(13.3891501 52.5499687)
581322478,11001001,brunnen apotheke,badstraße,11,13357,Mitte,Gesundbrunnen,,nan,dispensing_yes,"mo,tu,th 08:30-19:00; we 08:30-15:00; fr 08:30-18:30",yes,52.5503414,13.3855631,POINT(13.3855631 52.5503414)
582854286,11007007,ursus-apotheke,marienfelder allee,75,12277,Tempelhof-Schöneberg,Marienfelde,,https://www.ursus-apotheke-berlin.de/,dispensing_yes,mo-fr 08:30-18:00; sa 08:30-13:00,yes,52.4193408,13.3684082,POINT(13.3684082 52.4193408)
585143218,11007007,schwarze adler apotheke,prinzessinnenstraße,2,12307,Tempelhof-Schöneberg,Lichtenrade,+49307446063,nan,dispensing_yes,nan,no,52.386944,13.3954661,POINT(13.3954661 52.386944)
585144206,11007007,bahnhof-apotheke,bahnhofstraße,26,12305,Tempelhof-Schöneberg,Lichtenrade,,nan,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:00; ph off,no,52.3868901,13.3997371,POINT(13.3997371 52.3868901)
585473264,11001001,lessing apotheke,reinickendorfer straße,12,13347,Mitte,Gesundbrunnen,+49304652145,https://www.lessing-apotheke-berlin.de/,dispensing_yes,mo-fr 08:30-19:00; sa 09:00-14:00; su closed,yes,52.5420876,13.3701655,POINT(13.3701655 52.5420876)
588141093,11007007,linden apotheke,bahnhofstraße,52,12305,Tempelhof-Schöneberg,Lichtenrade,+49307445082,https://www.linden-apotheke-lichtenrade.de/,dispensing_yes,mo-fr 08:00-18:30; sa 08:30-13:30,limited,52.3865399,13.404185,POINT(13.404185 52.3865399)
588552725,11003003,katharinen apotheke,nan,nan,nan,Pankow,Weißensee,,nan,dispensing_yes,mo-fr 08:30-19:00; sa 09:00-13:00,no,52.5494413,13.4553976,POINT(13.4553976 52.5494413)
588552733,11003003,medicus apotheke,berliner allee,82,13088,Pankow,Weißensee,+49309250220,http://www.medicus-apotheke.de/06_start/index.html,dispensing_yes,mo-fr 08:00-19:30; sa 08:30-14:00,yes,52.5492679,13.4562626,POINT(13.4562626 52.5492679)
