technical_id,key,object_number,neighborhood,locality,type_of_green_space,green_space_name,name_extension,year_built,last_renovation_year,size_sqm,dedication,planning_area_number,planning_area_name,address1,latitude,longitude
00008100_0014b82b,00008100:0014b82b,322010,Mitte,Wedding,Grünanlage,Nordhafenpark Ost,Am Nordhafen zw. Fenn- u. Sellerstr. OT Wedding,,,9551.0,gewidmet,1300836.0,Humboldthain Nordwest,"Nordhafenpark Ost, Berlin, Germany",,
00008100_0014b7f7,00008100:0014b7f7,109510,Mitte,Mitte,Grünanlage,Fernsehturmanlage zw. Fernsehturm u. Spandauer Str.,Fernsehturmanlage mit Kaskaden und Neptunbrunnen,,,47060.0,gewidmet,1100310.0,Alexanderplatzviertel,"Fernsehturmanlage zw. Fernsehturm u. Spandauer Str., Berlin, Germany",52.5201723,13.4074855
00008100_0014bd82,00008100:0014bd82,156200,Mitte,Mitte,Grünanlage,Luisenstädtischer Kanal  Immergrüner Garten,zw. Michaelkirchplatz u. Adalbertstr.,1932.0,2012.0,4048.0,gewidmet,1100313.0,Heine-Viertel Ost,"Luisenstädtischer Kanal  Immergrüner Garten, Berlin, Germany",52.5056112,13.420644
00008100_0014bbf3,00008100:0014bbf3,214010,Mitte,Moabit,Grünanlage,Kleiner Tiergarten Ost,östlich der Stromstr.,,2016.0,34369.0,gewidmet,1200626.0,Thomasiusstraße,"Kleiner Tiergarten Ost, Berlin, Germany",,
00008100_0014bbde,00008100:0014bbde,213100,Mitte,Moabit,Grünanlage,Nordhafenpark West,OT Tiergarten an der Heidestr.,,,7138.0,gewidmet,1200624.0,Heidestraße,"Nordhafenpark West, Berlin, Germany",52.5367021,13.3617638
00008100_0014bdf8,00008100:0014bdf8,160410,Mitte,Mitte,Grünanlage,Ackerstr. 158 - 160,,,,2404.0,gewidmet,1100415.0,Invalidenstraße,"Ackerstr. 158 - 160, Berlin, Germany",52.5295832,13.3974794
00008100_0014bc8f,00008100:0014bc8f,253310,Mitte,Tiergarten,Grünanlage,Tilla-Durieux-Park,,,,23808.0,gewidmet,1100102.0,Großer Tiergarten,"Tilla-Durieux-Park, Berlin, Germany",52.5061216,13.3749616
00008100_0014bd12,00008100:0014bd12,113710,Mitte,Mitte,Grünanlage,Monbijou Park,,,1998.0,32089.0,gewidmet,1100309.0,Oranienburger Straße,"Monbijou Park, Berlin, Germany",,
00008100_0014b9d2,00008100:0014b9d2,148220,Mitte,Mitte,Grünanlage,Promenade Berlin-Spandauer-Schifffahrtskanal Kieler Str. WSA,,,,3305.0,-,1100308.0,Charitéviertel,"Promenade Berlin-Spandauer-Schifffahrtskanal Kieler Str. WSA, Berlin, Germany",,
00008100_0014ba6b,00008100:0014ba6b,339920,Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 3,1929.0,,21162.0,gewidmet,1400938.0,Kameruner Straße,"Goethepark, Berlin, Germany",52.5461325,13.3378369
00008100_0014ba6b,00008100:0014ba6b,339920,Mitte,Wedding,Grünanlage,Goethepark,Parkteil AK 3,1929.0,,21162.0,gewidmet,1400938.0,Kameruner Straße,"Goethepark, Berlin, Germany",52.5461325,13.3378369
00008100_0014b7f9,00008100:0014b7f9,108600,Mitte,Mitte,Grünanlage,Holzmarktstr. 56 - 65,,,,4613.0,gewidmet,1100311.0,Karl-Marx-Allee,"Holzmarktstr. 56 - 65, Berlin, Germany",52.5113674,13.4275229
00008100_0025039c,00008100:0025039c,337040,Mitte,Gesundbrunnen,Grünanlage,Grüntaler Straße - Weiße Bude,Pachtfläche,,,113.3,gewidmet,1300733.0,Gesundbrunnen,"Grüntaler Straße - Weiße Bude, Berlin, Germany",,
00008100_0014bbf9,00008100:0014bbf9,215600,Mitte,Hansaviertel,Grünanlage,Großer Tiergarten - Altonaer  Str. 3 - 9,,,,3038.0,gewidmet,1200629.0,Hansaviertel,"Großer Tiergarten - Altonaer  Str. 3 - 9, Berlin, Germany",,
00008100_0014b80e,00008100:0014b80e,101010,Mitte,Mitte,Grünanlage,Köllnischer Park,,1913.0,2021.0,9271.0,gewidmet,1100312.0,Heine-Viertel West,"Köllnischer Park, Berlin, Germany",52.5130928,13.4144401
00008100_002450dd,00008100:002450dd,201900,Mitte,Tiergarten,Grünanlage,Potsdamer Platz Areal Urbane Gewässer,"Pianobecken, Gewässer Marlene-Dietrich-Platz bis Potsdamer Str.",,,10219.0,gewidmet,1100102.0,Großer Tiergarten,"Potsdamer Platz Areal Urbane Gewässer, Berlin, Germany",,
00008100_0014bed4,00008100:0014bed4,210010,Mitte,Moabit,Grünanlage,Park am Hauptbahnhof,ULAP-Gelände,,,8842.0,gewidmet,1200628.0,Lüneburger Straße,"Park am Hauptbahnhof, Berlin, Germany",,
00008100_0014b84f,00008100:0014b84f,308010,Mitte,Wedding,Grünanlage,Blochplatz,,,,6800.0,gewidmet,1300836.0,Humboldthain Nordwest,"Blochplatz, Berlin, Germany",52.5493807,13.3853488
