Technischer Schlüssel;Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name des Planungsraumes
00008100_001c6757;00008100:001c6757;040151;Treptow-Köpenick;Johannisthal;Grünanlage;Sterndamm/ Herweghstraße Jo GA;Goldwassergrundstück;-;-;1515,00;gewidmet;09100408;Johannisthal Ost
00008100_001c68a8;00008100:001c68a8;110111;Treptow-Köpenick;Friedrichshagen;Grünanlage;Stillerzeile 100/ vor der Schule Fr GA;-;-;-;2678,00;gewidmet;09501736;Hirschgarten
00008100_001c670e;00008100:001c670e;060201;Treptow-Köpenick;Altglienicke;Grünanlage;Peenestraße/ am Spielplatz Ag GA;-;-;-;1487,00;gewidmet;09300920;Dorf Altglienicke
00008100_001c6a32;00008100:001c6a32;100091;Treptow-Köpenick;Köpenick;Grünanlage;Eiselenweg 24 Köp GA;-;-;-;1441,00;gewidmet;09200818;Spindlersfeld
00008100_001c64ba;00008100:001c64ba;045010;Treptow-Köpenick;Baumschulenweg;Grünanlage;Späthstraße 80-81/ Arboretum Ba NA;Sen Stadt / Humboldt Uni;-;-;37589,00;-;09100306;Späthsfelde
00008100_001c649e;00008100:001c649e;030021;Treptow-Köpenick;Baumschulenweg;Grünanlage;Baumschulenstraße 79 Ba GA;Stadtplatz;-;-;1291,00;gewidmet;09100304;Baumschulenweg West
00008100_002e0a3d;00008100:002e0a3d;100601;Treptow-Köpenick;Köpenick;Grünanlage;Hoppendorfer Straße/ Wuhlegrünzug Köp GA;von Mozartstraße/ Zum Wuhleblick bis Bischoftaler Straße mit Radweg;-;-;17028,00;gewidmet;09502043;Dammheide
00008100_002fe488;00008100:002fe488;050081;Treptow-Köpenick;Niederschöneweide;Grünanlage;Helga-Hahnemann-Straße Nie GA;im Bau/ B-Plan XV-11;-;-;3519,00;-;09200613;Bahnhof Schöneweide
00008100_002d89ff;00008100:002d89ff;211.084;Neukölln;Buckow;Grünanlage;Buckower Felder-Mauerweg;-;-;-;9746,00;gewidmet;08200832;Buckow Mitte
00008100_002a895a;00008100:002a895a;321.682-1;Neukölln;Britz;Grünanlage;Park am Buschkrug-Kiosk;-;-;-;346,00;gewidmet;08200623;Park am Buschkrug
00008100_0030314c;00008100:0030314c;110231;Treptow-Köpenick;Friedrichshagen;Grünanlage;Am Neuhagener Mühlenfließ Fr GA;LSG von Landesgrenze bis Brücke Hauptweg KGA Wiesengrund;-;-;9455,00;-;09501736;Hirschgarten
