Technischer Schlüssel,Schlüssel,Objektnummer,Bezirk,Ortsteil,Art der Grünanlage,Name des Spielplatzes,Namenszusatz des Spielplatzes,Baujahr,letztes Sanierungsjahr,Größe in m² (Kataster),Widmung,Nummer des Planungsraumes,Name des Planungsraumes,Nettospielfläche in m²
00008100_0022d9a1,00008100:0022d9a1,R01-24126,Marzahn-Hellersdorf,Marzahn,Spielplatz,Seelgrabenpark Marzahn/ Westpark,Spielplatz östlich Turnhalle Dessauer Straße,2016,-,637.00,gewidmet,10100101,Marzahn West,637.03
00008100_001991ad,00008100:001991ad,00225,Marzahn-Hellersdorf,Marzahn,Spielplatz,Marchwitzastr/ Allee d.Kosmonauten/,Bolzplatz Märkische Allee 40-66,1983,-,594.00,gewidmet,10100312,Springpfuhl,593.50
00008100_00199416,00008100:00199416,00145,Marzahn-Hellersdorf,Marzahn,Spielplatz,Bürgerpark Marzahn - großer Spielplatz,großer allgemeiner Spielplatz,1991,-,4907.30,gewidmet,10100208,Bürgerpark,1511.94
00008100_00199203,00008100:00199203,00262,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grünzug Fichtelbergstr./Pekrunstraße ,Am Amanlisweg 12,1984,-,1138.00,gewidmet,10100314,Auersbergstraße,339.61
00008100_00199210,00008100:00199210,00230,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Springpfuhlpark, Spielplatz",hinter der Schwimmhalle,1983,-,627.00,gewidmet,10100312,Springpfuhl,626.80
00008100_00199429,00008100:00199429,00144,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Geraer Ring, Grünzug Marzahn/West",Wasserspielplatz,1996,-,854.60,gewidmet,10100101,Marzahn West,429.66
00008100_00199227,00008100:00199227,2307821,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Skaterpark ,am Beerenpfuhlgraben ,-,-,3653.00,gewidmet,10200420,Gut Hellersdorf,2153.00
00008100_002504bc,00008100:002504bc,R05-24721,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,"Spielplatz zw,Suhler Str.36 und 46",Suhler NORD Entlang der Wuhle,2018,-,1462.00,gewidmet,10200420,Gut Hellersdorf,1354.47
00008100_001994db,00008100:001994db,00803,Marzahn-Hellersdorf,Marzahn,Spielplatz,Mühlenberg - Dorf Alt-Marzahn,Spielplatz an AdK,2000,2013,95.30,gewidmet,10100313,Alt-Marzahn,95.28
00008100_00199200,00008100:00199200,00255,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Paul-Schwenk-Straße, Wohnhof ",Spielplatz neben Kita,1984,-,677.00,gewidmet,10100313,Alt-Marzahn,423.62
00008100_00280211,00008100:00280211,R04-25118,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Spielplatz Walsheimer Str,Paradiessiedlung,2018,-,1744.30,gewidmet,10300733,Alt-Biesdorf,1744.30
00008100_00199255,00008100:00199255,2306961,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Sprühplantsche ""Altlandsberger Platz""",Zinndorfer Straße,-,-,551.00,gewidmet,10100316,Landsberger Tor,551.00
00008100_00199434,00008100:00199434,00185,Marzahn-Hellersdorf,Marzahn,Spielplatz,Schwarzburger Str. 15/ 17,Spielplatz,1986,-,527.00,gewidmet,10100206,Wuhletalstraße,312.00
00008100_001993c3,00008100:001993c3,2300598,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Zerbster Straße- Bolzplatz,an der Zerbster Straße,-,-,2044.00,gewidmet,10200423,Böhlener Straße,2044.91
00008100_0019919a,00008100:0019919a,00317,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Nordpromenade,Piratenspielplatz am S-Bahnhof Biesdorf,1990,2022,2202.50,gewidmet,10300733,Alt-Biesdorf,1686.77
00008100_001991cb,00008100:001991cb,00234,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Grünzug Akazienwäldchen, Poelchaustr.",Bolzplatz hinter Murtzaner Ring 9/11/13,1983,1997,338.00,gewidmet,10100312,Springpfuhl,337.50
00008100_0019924f,00008100:0019924f,2307041,Marzahn-Hellersdorf,Biesdorf,Spielplatz,"Wateweg, Wuhlegrünzug",Spielplatz östlich Wateweg,2010,2021,255.00,gewidmet,10300734,Biesdorf Süd,255.00
00008100_0019942d,00008100:0019942d,00149,Marzahn-Hellersdorf,Marzahn,Spielplatz,Dessauer Straße/Schwarzwurzelstraße,Bolzplatz u. Spielplatz Westpark,2007,-,3348.20,gewidmet,10100101,Marzahn West,726.41
00008100_00199361,00008100:00199361,2300586,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Zerbster Straße - Spielplatz,Drachenplantsche,-,-,9514.00,gewidmet,10200423,Böhlener Straße,2369.88
00008100_00199194,00008100:00199194,00232,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Springpfuhlpark, Bolzplatz",hinter der Schwimmhalle,1988,-,812.90,gewidmet,10100312,Springpfuhl,780.00
00008100_002819d1,00008100:002819d1,R05-26008,Marzahn-Hellersdorf,Marzahn,Spielplatz,Spielplatz Riesenameisen und Pferd,-,2016,-,575.00,gewidmet,10100316,Landsberger Tor,575.00
00008100_001991ff,00008100:001991ff,00264,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grünzug  Fichtelbergstr./Pekrunstraße,BP Amanlisweg 12,1984,-,539.00,gewidmet,10100314,Auersbergstraße,539.15
00008100_00199406,00008100:00199406,00172,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Sella-Hasse-Straße, an der Turnhalle",Spielplatz,1985,2018,1089.50,gewidmet,10100208,Bürgerpark,754.19
00008100_001993cb,00008100:001993cb,2300588,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Teterower Ring - Bolzplatz,Teterower Ring,-,-,396.00,gewidmet,10200629,Teterower Ring,331.90
00008100_001991e5,00008100:001991e5,00288,Marzahn-Hellersdorf,Marzahn,Spielplatz,Rebhuhnweg - am Dorf Marzahn,"Bolzplatz am ""Lesegarten""",1985,-,907.00,gewidmet,10100313,Alt-Marzahn,906.61
00008100_00199501,00008100:00199501,2302081,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Spielplatz Am Baltenring,Zugang auch Lily-Braun-Straße,-,-,2693.00,gewidmet,10200630,Cecilienplatz,345.16
00008100_0019931a,00008100:0019931a,2301356,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Wuhletalstraße - an der Gleisschleife,",Spielplatz Skater Anlage,2004,2024,3940.70,gewidmet,10100206,Wuhletalstraße,2006.95
00008100_001c647f,00008100:001c647f,010072,Treptow-Köpenick,Alt-Treptow,Spielplatz,Am Treptower Park/ TT  Heidegarten AT KSP,neben Heidegarten,-,-,50.00,gewidmet,09100101,Alt-Treptow,48.88
00008100_0022d66d,00008100:0022d66d,R01-24123,Marzahn-Hellersdorf,Marzahn,Spielplatz,Seelgrabenpark Marzahn/ Nord,Spielplatz auf Kita-Abrissfläche Belziger Ring 35/ 37,2016,-,388.40,gewidmet,10100104,Golliner Straße,388.40
00008100_00199211,00008100:00199211,00249,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Bruno-Baum-Straße - Grünzug, ",Spielbereich hinter Br.-Baum-Str. 32/34,1983,-,1584.00,gewidmet,10100313,Alt-Marzahn,1584.00
00008100_001991d9,00008100:001991d9,00222,Marzahn-Hellersdorf,Marzahn,Spielplatz,Marchwitzastr/ Allee d.Kosmonauten/,Spielbereiche Märkische Allee 40-60,1983,-,2414.10,gewidmet,10100312,Springpfuhl,1008.00
00008100_0019944f,00008100:0019944f,00171,Marzahn-Hellersdorf,Marzahn,Spielplatz,Walter-Felsenstein-Straße,Sella-Hasse-Str. 23 - Spielplatz,1991,-,741.00,gewidmet,10100208,Bürgerpark,741.03
00008100_001994e7,00008100:001994e7,00704,Marzahn-Hellersdorf,Biesdorf,Spielplatz,"Habichtshorst, Apollofalterallee",Spielplatz in den Schmetterlingswiesen,2008,-,1207.00,gewidmet,10300734,Biesdorf Süd,1206.10
00008100_00281a0e,00008100:00281a0e,R07-26013,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Spielplatz Elektropolis,-,2016,-,2217.00,gewidmet,10200627,Am Kienberg,2217.00
00008100_0019926a,00008100:0019926a,2306502,Marzahn-Hellersdorf,Marzahn,Spielplatz,Kienbergstraße 54 - Spielplatz,Ehemalige KITA-Fläche,2008,-,582.00,gewidmet,10100315,Bärenstein,512.04
00008100_0019972f,00008100:0019972f,2300571,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Spielplatz Suhler Straße ,SÜD Suhler Str. 60 -68,2018,-,913.00,gewidmet,10200420,Gut Hellersdorf,164.36
00008100_001c6465,00008100:001c6465,050082,Treptow-Köpenick,Niederschöneweide,Spielplatz,Hartriegelstraße ggü.Nr.114 Nie KSP,a.d.Schule,-,-,3496.00,gewidmet,09200614,Oberspree,2500.00
00008100_001c6464,00008100:001c6464,050092,Treptow-Köpenick,Niederschöneweide,Spielplatz,Hartriegelstraße gegenüber Nr. 114/ Ballspielplatz Nie KSP,Bolzplatz,-,-,2277.00,gewidmet,09200614,Oberspree,1406.00
00008100_001c6bb6,00008100:001c6bb6,040042,Treptow-Köpenick,Johannisthal,Spielplatz,Hermann-Dorner-Allee/ Himmelsspiegel Jo KSP,Asphaltfläche ehemaliges Flugfeld,-,-,2434.60,-,09100409,Landschaftspark Adlershof,2039.75
00008100_001c69e4,00008100:001c69e4,110012,Treptow-Köpenick,Friedrichshagen,Spielplatz,Am Goldmannpark Fr KSP,(6a/9-7),-,-,1095.00,gewidmet,09501737,Alt-Friedrichshagen,940.71
00008100_001c6649,00008100:001c6649,060262,Treptow-Köpenick,Altglienicke,Spielplatz,Schönefelder Chaussee 213 Ag KSP,-,2015,-,1256.00,gewidmet,09300922,Kosmos Viertel,931.61
00008100_0026fda9,00008100:0026fda9,120072,Treptow-Köpenick,Rahnsdorf,Spielplatz,Wolfgang-Steinitz-Straße/ Lagunenweg Ra KSP,-,-,-,1333.20,gewidmet,09501838,Rahnsdorf,1100.00
