Technischer Schlüssel,Schlüssel,Objektnummer,Bezirk,Ortsteil,Art der Grünanlage,Name des Spielplatzes,Namenszusatz des Spielplatzes,Baujahr,letztes Sanierungsjahr,Größe in m² (Kataster),Widmung,Nummer des Planungsraumes,Name des Planungsraumes,Nettospielfläche in m²
00008100_001c94c7,00008100:001c94c7,28AS02,Lichtenberg,Friedrichsfelde,Spielplatz,Schwarzmeerstr. südl. Nr. 29 / Spielpl.,-,-,2021,1483.00,gewidmet,11401136,Volkradstraße,651.00
00008100_001c9613,00008100:001c9613,29AS02,Lichtenberg,Rummelsburg,Spielplatz,Rummelsburger Bucht / Hauptstr. 4 / Spielpl.,-,1999,-,1974.00,gewidmet,11501238,Rummelsburg,1974.00
00008100_001c9318,00008100:001c9318,11AS01,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Edgarstr. 2 / Spielpl.,-,2008,-,1156.00,gewidmet,11200410,Malchower Weg,836.00
00008100_001c9479,00008100:001c9479,31AS01,Lichtenberg,Karlshorst,Spielplatz,Rolandseck / Waldowallee / Spielpl.,-,2015,-,2007.00,gewidmet,11501340,Karlshorst Nord,1083.00
00008100_001c9615,00008100:001c9615,07AS04,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Falkenbg. Chauss./E.-E.-Kisch-Str./Sp.,-,1999,-,389.00,gewidmet,11100206,Wartenberg Nord,389.00
00008100_001c94fe,00008100:001c94fe,26AS04,Lichtenberg,Friedrichsfelde,Spielplatz,"Marzahner Ch./anKGA""Akazienwäld./Spielpl",-,2003,2003,336.00,gewidmet,11401033,Gensinger Straße,256.00
00008100_001c961e,00008100:001c961e,31AS05,Lichtenberg,Karlshorst,Spielplatz,Köpenicker Allee/Biesenhorster Weg/Sp.,-,1998,-,190.00,gewidmet,11501340,Karlshorst Nord,190.00
00008100_001c96f5,00008100:001c96f5,32AS02,Lichtenberg,Karlshorst,Spielplatz,Traberweg / Liepnitzstr. / Spielpl.,-,2010,-,705.00,gewidmet,11501341,Karlshorst Süd,705.00
00008100_001c9482,00008100:001c9482,32AS01,Lichtenberg,Karlshorst,Spielplatz,Lehndorffstr./ Stallwiese / Spielpl.,-,1999,1994,1256.00,gewidmet,11501341,Karlshorst Süd,1256.00
00008100_001c9555,00008100:001c9555,23AS03,Lichtenberg,Rummelsburg,Spielplatz,Türrschmidt Str./Kernhofer Str./Ballsp.,-,2004,-,204.00,gewidmet,11400927,Victoriastadt,204.00
00008100_001c9619,00008100:001c9619,14AS03,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Freienwalder Platz / Spielpl.,-,2017,-,271.00,gewidmet,11200513,Große-Leege-Straße,257.00
00008100_001c94ba,00008100:001c94ba,19AS08,Lichtenberg,Fennpfuhl,Spielplatz,Georg-Lehnig Str.1-9 / Spielplatz,-,1996,2024,1845.00,gewidmet,11300618,Storkower Bogen,1030.00
00008100_001c955a,00008100:001c955a,31AS02,Lichtenberg,Karlshorst,Spielplatz,Ingelheimer/Ehrenfelsstr./Stadtpl./Sp.,-,1991,-,309.00,gewidmet,11501340,Karlshorst Nord,309.00
00008100_001c95c2,00008100:001c95c2,09AS02,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Wiecker Str. 1-3 / Spielpl. hinter Kita,-,1991,-,989.00,gewidmet,11100308,Zingster Straße West,826.00
00008100_001c9564,00008100:001c9564,24AS03,Lichtenberg,Rummelsburg,Spielplatz,Wönnichstr.  / Sophienstr. / Spielpl.,-,2005,-,1831.00,gewidmet,11400929,Weitlingkiez,1215.00
00008100_001c95c7,00008100:001c95c7,23AS02,Lichtenberg,Rummelsburg,Spielplatz,Kernhofer Str. 8-10 / Spielpl.,-,2002,-,943.00,gewidmet,11400927,Victoriastadt,848.00
00008100_00287676,00008100:00287676,21AS09,Lichtenberg,Lichtenberg,Spielplatz,Magdalenenstr. 25/27 / Rodeliusplatz,an der Kirche,2020,-,361.00,gewidmet,11300724,Roedeliusplatz,361.00
00008100_00302fae,00008100:00302fae,03AS01,Lichtenberg,Falkenberg,Spielplatz,Karl-Philipp-Moritz-Weg / Am Gehrensee - Mein Falkenberg,-,2023,-,721.00,-,11100102,Dorf Falkenberg,721.00
00008100_001c92cb,00008100:001c92cb,14AS02,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Küstriner Str. 57 /Spielpl,-,2013,2015,2912.00,gewidmet,11200513,Große-Leege-Straße,2912.00
00008100_001c9583,00008100:001c9583,20AS01,Lichtenberg,Fennpfuhl,Spielplatz,Paul-Zobel-Str. 1-4 / Spielplatz,-,2019,2019,4664.00,gewidmet,11300620,Fennpfuhl Ost,2644.00
00008100_001c9546,00008100:001c9546,28AS04,Lichtenberg,Friedrichsfelde,Spielplatz,Sewanstr./Ontarioseestr.(Wasserwerk)/Sp.,-,2019,2019,1838.00,gewidmet,11401137,Erieseering,734.00
00008100_001c95bf,00008100:001c95bf,04AS04,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Biesenbrower Str. 30-40 / Spielpl.,-,1993,2021,2674.00,gewidmet,11100203,Falkenberg Ost,1299.00
00008100_001c95e9,00008100:001c95e9,08AS01,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Zingster Str.2-12 /Prerower Pl.10-12/Sp.,-,1992,-,2547.00,gewidmet,11100307,Zingster Straße Ost,1265.00
00008100_00199428,00008100:00199428,00202,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Parsteiner Ring, vor Nr. 44",Streetball-Anlage,1989,1996,800.00,gewidmet,10100207,Ahrensfelder Berge,509.16
00008100_0028c446,00008100:0028c446,R02-25318,Marzahn-Hellersdorf,Marzahn,Spielplatz,Kiezpark Schönagelstraße,Spielplatz südlich der Turnhalle,2019,-,3647.20,gewidmet,10100209,Lea-Grundig-Straße,3163.19
00008100_0019926b,00008100:0019926b,2306601,Marzahn-Hellersdorf,Marzahn,Spielplatz,Stolzenhagener Straße gegenüber Sportpl.,Ballspielanlage der WG Marzahner Tor,2003,-,942.70,gewidmet,10100210,Marzahner Promenade,111.73
00008100_003011b5,00008100:003011b5,2301106A,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Spielplatz Klingenthaler Straße,-,-,-,787.00,gewidmet,10200526,Boulevard Kastanienallee,787.00
00008100_0030ac12,00008100:0030ac12,PO-27521,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Spielplatz Theodorpark,-,-,-,1569.00,gewidmet,10400941,Pilgramer Straße,1125.37
00008100_0019972d,00008100:0019972d,2301240,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Langenbeckplatz - Spielplatz,Langenbeckplatz,2000,-,3836.00,gewidmet,10400941,Pilgramer Straße,682.20
00008100_0019940c,00008100:0019940c,00160,Marzahn-Hellersdorf,Marzahn,Spielplatz,Franz-Stenzer-Straße 17/19,allg. Spielplatz,1985,-,719.00,gewidmet,10100210,Marzahner Promenade,718.00
00008100_00199342,00008100:00199342,2301309,Marzahn-Hellersdorf,Kaulsdorf,Spielplatz,"Bausdorf Str.8,9 - Spielplatz",Öffentlicher Spielplatz,-,-,1383.00,gewidmet,10400835,Kaulsdorf Nord,347.03
00008100_0019926e,00008100:0019926e,2306421,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Burghardweg 40  ,Spielplatz Neubau (2014),2015,-,2273.00,gewidmet,10300732,Buckower Ring,1829.21
00008100_0019951b,00008100:0019951b,2301607,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Spielplatz Kyritzer Straße,Kyritzer Straße,-,-,183.00,gewidmet,10200418,Kyritzer Straße,181.51
00008100_0019944a,00008100:0019944a,00163,Marzahn-Hellersdorf,Marzahn,Spielplatz,Basdorfer Straße/ Zühlsdorfer Straße,hinter Zühlsdorfer Str. 20 (Seniorenh.),1985,-,592.00,gewidmet,10100210,Marzahner Promenade,591.56
00008100_0019972e,00008100:0019972e,2300569,Marzahn-Hellersdorf,Kaulsdorf,Spielplatz,Senzigerstr.-Spielplatz,Münsterberger Weg/Senzigerstr.,2020,-,1297.00,gewidmet,10400836,Alt-Kaulsdorf,909.84
00008100_003021bb,00008100:003021bb,00136A,Marzahn-Hellersdorf,Marzahn,Spielplatz,Clara-Zetkin-Park I,Spielplatz im oberen Bereich,-,-,294.20,gewidmet,10100103,Wittenberger Straße,294.20
00008100_002cae52,00008100:002cae52,R08-23418a,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Spielplatz an der Grünverbindung,zw.Hönower Straße und Straße An der Schule,2020,-,624.00,gewidmet,10400939,Alt-Mahlsdorf,624.00
00008100_0019976f,00008100:0019976f,2301262,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Kressenweg-Spielplatz,In der KGA Wickenweg,-,-,357.00,gewidmet,10400940,Elsensee,209.58
00008100_0019972b,00008100:0019972b,2300136,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Simrockplatz - Spielplatz,Briesner Weg/Sudermann Str.,2017,-,749.00,gewidmet,10400938,Mahlsdorf Nord,410.09
00008100_0019942e,00008100:0019942e,00161,Marzahn-Hellersdorf,Marzahn,Spielplatz,Franz-Stenzer-Str. 17/19,Bolzplatz,1985,-,706.00,gewidmet,10100210,Marzahner Promenade,700.00
00008100_0030533f,00008100:0030533f,PO-28003,Marzahn-Hellersdorf,Marzahn,Spielplatz,Spielplatz Marzahner Chaussee,Obstgarten,2023,-,1799.50,gewidmet,10100311,Marzahner Chaussee,1045.71
00008100_00206863,00008100:00206863,R04-23481,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Lauinger Straße,Spielplatz,2014,-,2285.00,gewidmet,10300734,Biesdorf Süd,1831.00
00008100_00199663,00008100:00199663,2301241,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Langenbeckplatz - Bolzplatz,Langenbeckplatz,2000,-,515.00,gewidmet,10400941,Pilgramer Straße,514.49
00008100_00248b6f,00008100:00248b6f,R06-24583,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Spielpark Mahlsdorfer Grünzug,Spielpark,2018,-,3100.00,gewidmet,10400938,Mahlsdorf Nord,1267.61
00008100_00199740,00008100:00199740,2300573,Marzahn-Hellersdorf,Kaulsdorf,Spielplatz,Kaulsdorfer Busch - Spielplatz,In der KGA Kaulsdorfer Busch,-,-,2382.00,gewidmet,10400837,Kaulsdorf Süd,964.77
00008100_001991e4,00008100:001991e4,00293,Marzahn-Hellersdorf,Biesdorf,Spielplatz,"KGA ""Am Kienberg""",öffentl. Spielbereich östl. J.-Ringelnatz-Str.,1993,-,498.10,gewidmet,10300732,Buckower Ring,413.23
00008100_00199222,00008100:00199222,2307981,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Spielplatz  Albrecht- Dürer- Straße,Albrecht- Dürer-Str./Landsberger Straße,2018,-,1600.00,gewidmet,10400938,Mahlsdorf Nord,1204.62
00008100_00199737,00008100:00199737,2300568,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Melanchthonplatz - Spielplatz,Melanchthonplatz / Am Lupinenfeld,-,-,2148.00,gewidmet,10400938,Mahlsdorf Nord,185.85
00008100_00199736,00008100:00199736,2300574,Marzahn-Hellersdorf,Kaulsdorf,Spielplatz,Eichenstraße - Spielplatz,Ulmenstraße/ Eichenstraße,-,-,1321.00,gewidmet,10400837,Kaulsdorf Süd,1144.77
00008100_0019921e,00008100:0019921e,2308061,Marzahn-Hellersdorf,Marzahn,Spielplatz,am Freizeitforum Marzahn - Spielplatz 2,Marzahner Promenade,2013,-,2032.30,-,10100210,Marzahner Promenade,1991.65
00008100_00199440,00008100:00199440,00168,Marzahn-Hellersdorf,Marzahn,Spielplatz,Marzahner Promenade /Franz-Stenzer-Straße,Spielplatz an Schwimmhalle,1985,2019,430.70,gewidmet,10100210,Marzahner Promenade,430.72
00008100_002ef9cd,00008100:002ef9cd,230999,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Spielplatz Havelländer Ring ,Spielplatz,-,-,504.00,gewidmet,10200418,Kyritzer Straße,438.00
00008100_001c64ea,00008100:001c64ea,060012,Treptow-Köpenick,Altglienicke,Spielplatz,Bohnsdorfer Weg 97 Ag KSP,-,2002,-,2190.00,gewidmet,09300921,Preußen Siedlung,900.00
00008100_002acea6,00008100:002acea6,100452,Treptow-Köpenick,Köpenick,Spielplatz,Ahornallee/ Ottomar-Geschke-Straße Köp KSP,B-Plan 9-22,2020,-,2617.00,gewidmet,09200818,Spindlersfeld,1513.81
00008100_001c69f1,00008100:001c69f1,100162,Treptow-Köpenick,Köpenick,Spielplatz,Hämmerlingstraße 126-128 Köp KSP,(6a/3-7),-,-,1214.00,gewidmet,09501939,Bahnhofstraße,600.00
00008100_001c6977,00008100:001c6977,100132,Treptow-Köpenick,Köpenick,Spielplatz,Gartenstraße 74 Köp KSP,-,-,-,762.00,gewidmet,09401534,Altstadt Köpenick,528.00
00008100_001c6493,00008100:001c6493,090142,Treptow-Köpenick,Oberschöneweide,Spielplatz,Waltraud-Krause-Weg/ Wilhelminenhofstraße 9-10 Ob KSP,Wilhelminenhofgeister,2011,-,859.00,gewidmet,09200510,Helmholtz-Kiez,503.62
00008100_001c6643,00008100:001c6643,080012,Treptow-Köpenick,Bohnsdorf,Spielplatz,Hundsfelder Straße/ Siebweg Bo KSP,"""Rübenbahn"" (Sandowitzer Platz)",-,-,1567.00,gewidmet,09301025,Alt-Bohnsdorf,813.58
00008100_001c652d,00008100:001c652d,030092,Treptow-Köpenick,Baumschulenweg,Spielplatz,Schöntaler Weg/ Mosischstraße Ba KSP,-,2008,-,675.00,-,09100304,Baumschulenweg West,600.00
00008100_0032bb01,00008100:0032bb01,110152,Treptow-Köpenick,Friedrichshagen,Spielplatz,Werlseestraße/ Wendeschleife Fr KSP,Aktivplatz,-,-,50.00,gewidmet,09501737,Alt-Friedrichshagen,49.71
00008100_001c69db,00008100:001c69db,100272,Treptow-Köpenick,Köpenick,Spielplatz,Luisenstraße 16 Köp KSP,-,-,1996,3461.00,-,09401534,Altstadt Köpenick,2138.00
00008100_001c69e3,00008100:001c69e3,110032,Treptow-Köpenick,Friedrichshagen,Spielplatz,Karl-Pokern-Straße Fr KSP,(6a/9-13),-,-,1733.00,gewidmet,09501737,Alt-Friedrichshagen,718.00
00008100_001c6734,00008100:001c6734,050052,Treptow-Köpenick,Niederschöneweide,Spielplatz,Britzer Straße 1 Nie KSP,-,-,-,1787.50,gewidmet,09200613,Bahnhof Schöneweide,840.00
00008100_002a8e76,00008100:002a8e76,060292,Treptow-Köpenick,Altglienicke,Spielplatz,Semmelweisstraße 34-36 Ag KSP,Schachspiel,-,-,243.00,gewidmet,09300920,Dorf Altglienicke,100.00
00008100_001c6728,00008100:001c6728,070042,Treptow-Köpenick,Adlershof,Spielplatz,Vogelbeerstraße hint.Nr. 9-15/Köllnische Heide Ahof KSP,-,-,-,4333.00,gewidmet,09200717,Dörpfeldstraße Ost,2600.00
00008100_001c6867,00008100:001c6867,100212,Treptow-Köpenick,Köpenick,Spielplatz,Kirchstraße/ Lüdersstraße Köp KSP,Block 8,2019,-,1110.00,gewidmet,09401534,Altstadt Köpenick,678.91
00008100_001c684f,00008100:001c684f,010102,Treptow-Köpenick,Alt-Treptow,Spielplatz,Isingstraße gegenüber Nr. 13-17 AT KSP,-,-,-,1749.60,gewidmet,09100101,Alt-Treptow,1365.00
00008100_001c691f,00008100:001c691f,090152,Treptow-Köpenick,Oberschöneweide,Spielplatz,Wattstraße 5-6/ Deulstraße 25-26 Ob KSP,Generationenpark,2012,-,3526.60,gewidmet,09200510,Helmholtz-Kiez,2000.00
00008100_00301561,00008100:00301561,130062,Treptow-Köpenick,Grünau,Spielplatz,An der Dahme Gr KSP,-,2023,-,688.00,gewidmet,09301126,Grünau,285.82
00008100_001c697b,00008100:001c697b,110072,Treptow-Köpenick,Friedrichshagen,Spielplatz,Stienitzseestraße 5 Fr KSP,ehem. Müggelseedamm247,2015,-,450.00,gewidmet,09501737,Alt-Friedrichshagen,400.00
00008100_001c655d,00008100:001c655d,120022,Treptow-Köpenick,Rahnsdorf,Spielplatz,Dämeritzstraße/ Lindenstraße Ra KSP,-,-,-,619.00,gewidmet,09501838,Rahnsdorf,590.00
00008100_001c64f2,00008100:001c64f2,120032,Treptow-Köpenick,Rahnsdorf,Spielplatz,Wiebelskircher Weg/ Ballspielecke Ra KSP,-,-,-,361.00,gewidmet,09501838,Rahnsdorf,361.00
00008100_001c69f0,00008100:001c69f0,100182,Treptow-Köpenick,Köpenick,Spielplatz,Katzengraben/ Futranplatz Köp KSP,(6a/3-9),-,-,126.00,gewidmet,09401534,Altstadt Köpenick,125.96
00008100_00228c1b,00008100:00228c1b,071072,Treptow-Köpenick,Adlershof,Spielplatz,Katharina-Boll-Dornberger-Straße/ Konrad-Zuse-Straße Ahof KSP,(alt: Konrad-Zuse-Straße Hermann-Dorner-Allee Ahof KSP),2016,-,4520.00,gewidmet,09200715,Wista,4473.34
00008100_002927a4,00008100:002927a4,130052,Treptow-Köpenick,Grünau,Spielplatz,Relingstraße Gr KSP,-,2019,-,598.00,gewidmet,09301126,Grünau,416.38
00008100_001c6746,00008100:001c6746,040122,Treptow-Köpenick,Johannisthal,Spielplatz,Megedestraße 4-6/ Sterndamm 104 Jo KSP,-,-,-,1009.00,gewidmet,09100407,Johannisthal West,562.00
00008100_001c6850,00008100:001c6850,020122,Treptow-Köpenick,Plänterwald,Spielplatz,Karpfenteichstraße neben Nr. 4 Pl KSP,-,-,-,2463.00,gewidmet,09100202,Plänterwald West,1983.00
00008100_001c6745,00008100:001c6745,040132,Treptow-Köpenick,Johannisthal,Spielplatz,Springbornstraße 11 Jo KSP,-,-,-,1982.40,gewidmet,09100407,Johannisthal West,1227.00
00008100_001c64ec,00008100:001c64ec,110022,Treptow-Köpenick,Friedrichshagen,Spielplatz,Emrichstraße 51/ hinter Peter-Hille-Straße 99 Fr KSP,-,-,-,1929.00,gewidmet,09501737,Alt-Friedrichshagen,1800.00
00008100_001c6851,00008100:001c6851,010062,Treptow-Köpenick,Alt-Treptow,Spielplatz,Lohmühlenstraße 57 AT KSP,-,2018,-,956.00,gewidmet,09100101,Alt-Treptow,752.87
00008100_001c6462,00008100:001c6462,090132,Treptow-Köpenick,Oberschöneweide,Spielplatz,Plönzeile 15A Ob KSP,Harry-Potter-Spielplatz,2021,-,1364.00,gewidmet,09200511,Griechischer Park,937.92
00008100_00306b66,00008100:00306b66,070092,Treptow-Köpenick,Adlershof,Spielplatz,Karl-Ziegler-Straße/ Hermann-Dorner-Allee Ahof KSP,Spiel- und Fitnessbereiche,2023,-,1709.10,in Widmung,09200715,Wista,600.00
00008100_003076f9,00008100:003076f9,020092,Treptow-Köpenick,Plänterwald,Spielplatz,Am Plänterwald/ Orionstraße Pl KSP,Innenhof,-,-,837.00,gewidmet,09100203,Plänterwald Ost,500.00
00008100_003077c2,00008100:003077c2,060362,Treptow-Köpenick,Altglienicke,Spielplatz,Germanenplatz Ag KSP,-,-,-,164.00,gewidmet,09300920,Dorf Altglienicke,141.40
00008100_001c6917,00008100:001c6917,100022,Treptow-Köpenick,Köpenick,Spielplatz,An der Filmfabrik Köp KSP,ehemalige Glanzfilmfabrik,2013,-,2736.00,gewidmet,09501941,Friedrichshagener Straße,1963.87
00008100_001c6646,00008100:001c6646,060092,Treptow-Köpenick,Altglienicke,Spielplatz,Venusstraße/ Ortolfstraße Ag KSP,-,2008,-,2664.00,gewidmet,09300922,Kosmos Viertel,1050.00
00008100_001c6726,00008100:001c6726,070022,Treptow-Köpenick,Adlershof,Spielplatz,Friedlander Straße 148a Ahof KSP,-,-,-,1069.00,gewidmet,09200717,Dörpfeldstraße Ost,580.00
00008100_0027942c,00008100:0027942c,130042,Treptow-Köpenick,Grünau,Spielplatz,Teichmummelring vor Nr. 75 Gr KSP,-,2018,-,698.00,gewidmet,09301126,Grünau,463.60
00008100_001c69f8,00008100:001c69f8,090112,Treptow-Köpenick,Oberschöneweide,Spielplatz,Kottmeierstraße 65 Ob KSP,-,2019,-,1593.00,gewidmet,09200511,Griechischer Park,1432.05
00008100_001c69e6,00008100:001c69e6,120012,Treptow-Köpenick,Rahnsdorf,Spielplatz,Erknerstraße Schönblicker Straße Ra KSP,Bahnhofsvorplatz Wilhelmshagen,-,-,1032.80,gewidmet,09501838,Rahnsdorf,600.00
00008100_001c64aa,00008100:001c64aa,050042,Treptow-Köpenick,Niederschöneweide,Spielplatz,Hasselwerderstraße 38 Nie KSP,"Skater, Basketball",-,-,1338.00,gewidmet,09200613,Bahnhof Schöneweide,1000.00
00008100_00310f7b,00008100:00310f7b,130072,Treptow-Köpenick,Grünau,Spielplatz,Regattastraße 155 Gr KSP,-,-,-,263.00,gewidmet,09301126,Grünau,50.00
00008100_001c64d9,00008100:001c64d9,060032,Treptow-Köpenick,Altglienicke,Spielplatz,Grünauer Straße 30/ Keltensteig Ag KSP,-,2005,-,908.00,gewidmet,09300920,Dorf Altglienicke,399.23
00008100_001c6724,00008100:001c6724,070072,Treptow-Köpenick,Adlershof,Spielplatz,Zinsgutstraße hinter 38/ Büchnerweg Ahof KSP,-,-,-,1985.00,gewidmet,09200717,Dörpfeldstraße Ost,1100.00
00008100_00265a61,00008100:00265a61,140032,Treptow-Köpenick,Müggelheim,Spielplatz,Krampenburger Weg/ Gosener Damm Mü KSP,-,2019,-,50.00,gewidmet,09401635,Müggelheim,25.16
00008100_001c676b,00008100:001c676b,030012,Treptow-Köpenick,Baumschulenweg,Spielplatz,Frauenlobstraße 15/ Mörikestraße Ba KSP,-,-,-,1946.00,gewidmet,09100304,Baumschulenweg West,1000.00
00008100_001c69e5,00008100:001c69e5,110062,Treptow-Köpenick,Friedrichshagen,Spielplatz,Löcknitzstraße Fr KSP,(6a/9-1.4),-,-,991.00,gewidmet,09501737,Alt-Friedrichshagen,655.00
00008100_001c64c1,00008100:001c64c1,140022,Treptow-Köpenick,Müggelheim,Spielplatz,Philipp-Jacob-Rauch-Straße nb.Nr.64 Mü KSP,-,2000,-,1866.00,gewidmet,09401635,Müggelheim,1000.00
00008100_001c672b,00008100:001c672b,050072,Treptow-Köpenick,Niederschöneweide,Spielplatz,Hartriegelstraße 73 Nie KSP,"""Birkenwäldchen""",-,-,2248.00,gewidmet,09200614,Oberspree,1100.00
00008100_001c69c4,00008100:001c69c4,100012,Treptow-Köpenick,Köpenick,Spielplatz,Alfred-Randt-Straße gegenüber Nr. 19 Köp KSP,-,-,-,991.80,gewidmet,09401433,Allende II,769.80
00008100_001c6506,00008100:001c6506,100362,Treptow-Köpenick,Köpenick,Spielplatz,Müggelschlößchenweg/ Alfred-Randt-Straße ggü. Nr. 34 Köp KSP,-,-,-,242.40,gewidmet,09401433,Allende II,242.40
00008100_001c648a,00008100:001c648a,080042,Treptow-Köpenick,Bohnsdorf,Spielplatz,Eichbuschplatz Bo KSP,-,-,-,1707.00,gewidmet,09301025,Alt-Bohnsdorf,285.00
00008100_001c6648,00008100:001c6648,060202,Treptow-Köpenick,Altglienicke,Spielplatz,Peenestraße Ag KSP,-,2018,-,991.00,gewidmet,09300920,Dorf Altglienicke,707.29
00008100_001c6645,00008100:001c6645,060022,Treptow-Köpenick,Altglienicke,Spielplatz,Ehrenfelder Straße 25-27 Ag KSP,-,-,-,3601.00,gewidmet,09300923,Kölner Viertel,1200.00
00008100_001c64fc,00008100:001c64fc,110042,Treptow-Köpenick,Friedrichshagen,Spielplatz,Klutstraße 18 Fr KSP,-,-,2003,807.00,gewidmet,09501737,Alt-Friedrichshagen,300.00
00008100_001c6736,00008100:001c6736,070032,Treptow-Köpenick,Adlershof,Spielplatz,Schneckenburger Straße/ Gellertstraße Ahof KSP,-,-,-,1884.00,gewidmet,09200716,Dörpfeldstraße West,1100.00
00008100_001c69de,00008100:001c69de,100392,Treptow-Köpenick,Köpenick,Spielplatz,Pflanzgartenplatz Köp KSP,-,2020,-,1346.00,gewidmet,09502043,Dammheide,823.03
00008100_001c69e2,00008100:001c69e2,110112,Treptow-Köpenick,Friedrichshagen,Spielplatz,Stillerzeile 100/ vor der Schule Fr KSP,-,-,-,655.00,gewidmet,09501736,Hirschgarten,500.00
00008100_001c64e6,00008100:001c64e6,060072,Treptow-Köpenick,Altglienicke,Spielplatz,Weidenweg/ Rodenkirchener Straße Ag KSP,-,-,-,3033.00,gewidmet,09300923,Kölner Viertel,1500.00
00008100_00248bdc,00008100:00248bdc,120042,Treptow-Köpenick,Rahnsdorf,Spielplatz,Hochlandstraße Ra KSP,Generationenplatz,-,-,1329.00,gewidmet,09501838,Rahnsdorf,1221.70
00008100_001c6461,00008100:001c6461,090082,Treptow-Köpenick,Oberschöneweide,Spielplatz,Deulstraße 19/20 Ob KSP,-,2001,2019,2144.00,gewidmet,09200510,Helmholtz-Kiez,1556.25
00008100_001c6727,00008100:001c6727,070062,Treptow-Köpenick,Adlershof,Spielplatz,Wassermannstraße 72/ Dörpfeldstraße Ahof KSP,-,2013,-,516.00,gewidmet,09200717,Dörpfeldstraße Ost,320.00
00008100_001c69f7,00008100:001c69f7,090122,Treptow-Köpenick,Oberschöneweide,Spielplatz,Kottmeierstraße 22-26 Ob KSP,-,-,-,953.00,gewidmet,09200511,Griechischer Park,953.00
00008100_001c6723,00008100:001c6723,070052,Treptow-Köpenick,Adlershof,Spielplatz,Büchnerweg 22 Ahof KSP,vorm. Wassermannstraße 114/Büchnerweg 22,2019,-,822.00,gewidmet,09200717,Dörpfeldstraße Ost,510.18
00008100_00307226,00008100:00307226,060382,Treptow-Köpenick,Altglienicke,Spielplatz,Uranusstraße Ag KSP,Fitness/ Parkoure,-,-,141.00,gewidmet,09300922,Kosmos Viertel,100.00
00008100_000a6b72,00008100:000a6b72,431.215,Neukölln,Neukölln,Spielplatz,Hobrechtstrasse,-,2000,-,997.00,gewidmet,08100310,Maybachufer,498.00
00008100_000a6d28,00008100:000a6d28,411.246,Neukölln,Neukölln,Spielplatz,Drorystrasse,-,-,-,4218.00,gewidmet,08100417,Braunschweiger Straße,2392.69
00008100_000a6d35,00008100:000a6d35,411.235,Neukölln,Neukölln,Spielplatz,Richardplatz-Spielplatz 1,-,-,-,418.00,gewidmet,08100416,Alt-Rixdorf,359.00
