original_id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
1772,Evangelische Kindertagesstätte Zur Heimat,Unknown,Unknown,Nan,Unknown,Unknown,Diakonisches Werk Steglitz und Teltow-Zehlendorf e.V,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1773,Kita Faradayweg,Unknown,Unknown,Nan,Unknown,Unknown,Evangelische Kirchengemeinde Berlin-Dahlem,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1774,Kindergarten FlowerKids,Unknown,Unknown,Nan,Unknown,Unknown,KitaNetz Berlin e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1775,Kita Steinstraße,"Steinstraße 14a, 12169 Berlin",12169.0,Nan,Unknown,Unknown,Kindertagesstätten Berlin Süd-West,65.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1776,Kindergarten Blumenstadt,Unknown,Unknown,Nan,Unknown,Unknown,Mitra e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1777,Kita St. Johannes Evangelist,Unknown,Unknown,Nan,Unknown,Unknown,Katholische Kirchengemeinde Sankt Benedikt Berlin,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1778,Kindertagesstätte Am Carlsgarten,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1779,Europa Kita II Mahlsdorf,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,154.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1780,Kita Krümelzwerge,"Besenbinderstraße 2, 12524 Berlin",12524.0,Nan,Unknown,Unknown,offensiv' 91 e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1781,Kita „Wundertüte“,"Strausberger Straße 5, 13055 Berlin",13055.0,Alt-Hohenschönhausen,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
