area_id,area_name,Straftaten -insgesamt-,Raub,"Straßenraub, Handtaschen-raub",Körper-verletzungen -insgesamt-,Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Diebstahl -insgesamt-,Diebstahl von Kraftwagen,Diebstahl an/aus Kfz,Fahrrad- diebstahl,Wohnraum- einbruch,Branddelikte -insgesamt-,Brand- stiftung,Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten,year,data_type
36012,Prenzlauer Berg Nord,9136.277759954373,42.776173671265106,24.952767974904646,705.8068655758743,178.23405696360462,356.46811392720923,5414.750650554308,131.89320215306742,466.9732292446441,1108.6158343136208,185.3634192421488,57.03489822835348,7.129362278544185,873.3468791216626,135.45788329233952,185.3634192421488,2538.0529711617296,2024,frequency
36013,Helmholtzplatz,9242.23277702732,65.3623251557802,39.21739509346812,862.7826920562986,226.58939387337136,357.3140441849318,4614.580155998083,91.50725521809228,230.94688221709006,1028.3672491176085,78.43479018693624,43.5748834371868,0,1320.3189681467602,435.74883437186804,252.73432393568345,2644.995424637239,2024,frequency
36014,Prenzlauer Berg Ost,16452.773816799076,193.52210226115298,115.43423643647722,1476.879201466694,349.6978339105045,770.6932844435391,8898.621579411965,237.65872207510017,1086.439872343315,852.1762748692878,261.4245942826102,122.22448563862294,33.951246010728596,1687.3769267332111,319.14171250084877,342.9075847083588,3758.4029333876556,2024,frequency
37015,Prenzlauer Berg Südwest,12239.888628370458,135.55099648300117,95.25205158264947,1846.4243845252051,586.1664712778429,468.9331770222743,5466.002344665885,87.92497069167644,348.0363423212192,1201.641266119578,153.86869871043376,62.28018757327081,7.327080890973036,1641.2661195779601,388.3352872215709,293.08323563892145,3674.5310668229777,2024,frequency
37016,Prenzlauer Berg Süd,7571.615357185309,62.4034232735053,38.63069059788423,650.7785569951267,151.55117080708428,421.9660049922739,3830.381552359444,133.7216213003685,427.90918816117915,956.8524901937478,172.3523118982527,65.37501485795792,23.772732675621064,1034.1138713895164,213.95459408058957,136.69321288482112,2463.449423511233,2024,frequency
39900,"Bezirk (Pk), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,frequency
40000,Charlottenburg-Wilmersdorf,15425.220283256724,138.45126952527247,88.60881249617437,1450.0948755541694,376.87892946563636,697.7943984073731,7023.705772106296,228.8089401628187,1439.0187739921475,836.8286206464362,282.4405898315558,68.20546751350264,29.439112046426352,1285.410733908319,242.79980529379358,288.5615933263573,4097.574625234274,2024,frequency
41001,Charlottenburg Nord,15324.407826982491,118.43460350154479,56.64263645726055,2003.0895983522141,432.54376930998967,1117.40473738414,5010.298661174047,386.1997940267765,1637.4871266735322,226.5705458290422,190.5252317198764,133.88259526261584,66.94129763130792,1096.8074150360453,56.64263645726055,1719.8764160659114,4675.592173017508,2024,frequency
42002,Heerstraße,14214.252732030169,161.61305217792827,115.43789441280592,2485.7626596890873,1069.7244882253349,461.75157765122367,5340.926581499154,238.5716484531322,1862.3980298599354,369.4012621209789,384.7929813760197,92.35031553024473,30.783438510081577,1623.8263814068032,538.7101739264276,177.00477143296908,4394.335847314145,2024,frequency
42003,Westend,12676.659528907923,121.34189864382584,67.80870806566739,992.1484653818701,196.28836545324768,863.6688079942899,6202.712348322627,253.3904354032834,1463.2405424696647,571.020699500357,278.372591006424,42.82655246252677,28.551034975017846,1216.9878658101356,174.8750892219843,107.06638115631692,3408.2798001427554,2024,frequency
43004,Schloss Charlottenburg,11807.228915662652,106.58016682113069,74.14272474513439,1190.9175162187212,259.49953660797036,695.0880444856349,5470.3429101019465,166.82113067655237,945.3197405004635,1003.2437442075997,208.52641334569046,83.41056533827619,25.486561631139946,1438.8322520852641,393.8832252085264,222.42817423540316,3526.413345690454,2024,frequency
43005,Mierendorffplatz,15062.52003847387,205.19397242705995,147.48316768194934,2039.1151009939083,596.344982366143,782.302019878166,6271.240782302019,262.90477717217055,1032.3821737736453,718.1789034947099,115.42160949022121,96.18467457518435,57.71080474511061,1545.3671048412953,250.0801538954793,224.43090734209682,4687.399807630651,2024,frequency
43006,Otto-Suhr-Allee/Kantstraße,15743.445988629186,150.03158559696777,82.91219204042957,1496.367656348705,367.1825647504738,637.6342387871131,7989.181933038534,138.18698673404927,1125.2368919772584,1097.5994946304486,207.28048010107392,86.8603916614024,29.611497157296274,1324.6209728363867,232.94377763739735,185.5653821857233,3981.7593177511058,2024,frequency
44007,Grunewald,10728.98885430264,75.30876594035546,50.20584396023697,793.2523345717441,130.5351942966161,597.4495431268199,4985.440305251531,246.00863540516116,1812.4309669645545,286.1733105733507,702.8818154433176,45.18525956421327,25.102921980118484,1204.9402550456873,266.09097298925593,80.32935033637915,3298.5239481875687,2024,frequency
44008,Schmargendorf,6832.316103092187,60.7445546845622,26.033380579098086,717.3642648462584,144.6298921061005,338.43394752827516,3471.1174105464115,251.65601226461484,711.5790691620144,619.0159382141101,234.30042521188278,20.24818489485407,11.570391368488039,700.0086777935263,86.7779352636603,80.99273957941628,2227.3003384339477,2024,frequency
45009,Halensee,17707.526578891782,144.33570372456524,98.57072449482503,1151.1652467788495,253.46757727240723,675.9135393930859,8072.238259522635,278.11025839611347,1883.4049144546925,876.5753714004084,274.58987537844115,56.32612828275716,24.642681123706257,1059.635288319369,112.65225656551432,116.17263958318664,3978.0328099697244,2024,frequency
45010,Lietzenburger Straße,31863.43190030234,204.01641963473688,125.35948676351302,2807.0692918418013,850.4780866701079,904.5547280190743,13401.174937934766,218.76459454809137,2315.4634613966523,1140.525526632746,349.04013961605585,68.82481626232088,34.41240813116044,1912.3466804316301,452.27736400953717,508.81203451072935,7583.019934616425,2024,frequency
