station_id,station,line,latitude,longitude,district,district_id
136,S Hohenschönhausen Bhf (Berlin),['S75'],52.56622,13.512489,Lichtenberg,11011011
137,S Gehrenseestr. (Berlin),['S75'],52.556471,13.524843,Lichtenberg,11011011
138,S Gehrenseestr. (Berlin),['S75'],52.556425,13.524692,Lichtenberg,11011011
139,S Rummelsburg (Berlin),['S3'],52.501235,13.478701,Lichtenberg,11011011
140,S Rummelsburg (Berlin),['S3'],52.501169,13.478667,Lichtenberg,11011011
141,S Betriebsbahnhof Rummelsburg (Berlin),['S3'],52.493969,13.497724,Lichtenberg,11011011
142,S Nöldnerplatz (Berlin),"['S5', 'S7', 'S75']",52.503801,13.485385,Lichtenberg,11011011
143,S Nöldnerplatz (Berlin),"['S5', 'S7', 'S75', 'S9']",52.503881,13.485281,Lichtenberg,11011011
144,S+U Lichtenberg Bhf (Berlin),"['S5', 'S7', 'S75']",52.51022,13.497972,Lichtenberg,11011011
145,S+U Lichtenberg Bhf (Berlin),"['S5', 'S7', 'S75', 'S9']",52.510303,13.497825,Lichtenberg,11011011
146,S Karlshorst (Berlin),['S3'],52.480538,13.527019,Lichtenberg,11011011
147,S Karlshorst (Berlin),['S3'],52.480602,13.5271,Lichtenberg,11011011
148,S Marzahn (Berlin),['S7'],52.543259,13.541126,Marzahn-Hellersdorf,11010010
149,S Marzahn (Berlin),['S7'],52.543322,13.540944,Marzahn-Hellersdorf,11010010
150,S Raoul-Wallenberg-Str. (Berlin),['S7'],52.550735,13.547678,Marzahn-Hellersdorf,11010010
151,S Raoul-Wallenberg-Str. (Berlin),['S7'],52.550783,13.547532,Marzahn-Hellersdorf,11010010
152,S Mehrower Allee (Berlin),['S7'],52.557752,13.553721,Marzahn-Hellersdorf,11010010
153,S Mehrower Allee (Berlin),['S7'],52.557792,13.553592,Marzahn-Hellersdorf,11010010
154,S Ahrensfelde Bhf (Berlin),['S7'],52.57132,13.565711,Marzahn-Hellersdorf,11010010
155,S Ahrensfelde Bhf (Berlin),['S7'],52.571349,13.565592,Marzahn-Hellersdorf,11010010
156,S Poelchaustr. (Berlin),['S7'],52.53564,13.53555,Marzahn-Hellersdorf,11010010
157,S Poelchaustr. (Berlin),['S7'],52.535662,13.535393,Marzahn-Hellersdorf,11010010
158,S Biesdorf (Berlin),['S5'],52.513095,13.556379,Marzahn-Hellersdorf,11010010
159,S Biesdorf (Berlin),['S5'],52.513066,13.555982,Marzahn-Hellersdorf,11010010
160,S Friedrichsfelde Ost (Berlin),"['S5', 'S7', 'S75']",52.514058,13.519948,Marzahn-Hellersdorf,11010010
161,S Friedrichsfelde Ost (Berlin),"['S5', 'S7', 'S75']",52.514179,13.519948,Marzahn-Hellersdorf,11010010
162,S Springpfuhl (Berlin),"['S7', 'S75']",52.527086,13.536604,Marzahn-Hellersdorf,11010010
163,S Springpfuhl (Berlin),"['S7', 'S75']",52.52707,13.536465,Marzahn-Hellersdorf,11010010
164,S+U Wuhletal (Berlin),['S5'],52.512452,13.575181,Marzahn-Hellersdorf,11010010
165,S Kaulsdorf (Berlin),['S5'],52.512165,13.590481,Marzahn-Hellersdorf,11010010
166,S Kaulsdorf (Berlin),['S5'],52.512076,13.590479,Marzahn-Hellersdorf,11010010
167,S Mahlsdorf Bhf (Berlin),['S5'],52.512253,13.610598,Marzahn-Hellersdorf,11010010
168,S Mahlsdorf Bhf (Berlin),['S5'],52.512137,13.610641,Marzahn-Hellersdorf,11010010
169,S Mahlsdorf Bhf (Berlin),['S5'],52.512091,13.610667,Marzahn-Hellersdorf,11010010
170,S Mahlsdorf Bhf (Berlin),['S5'],52.511972,13.61072,Marzahn-Hellersdorf,11010010
171,S Köpenick (Berlin),['S3'],52.458653,13.581491,Treptow-Köpenick,11009009
172,S Köpenick (Berlin),['S3'],52.458514,13.581459,Treptow-Köpenick,11009009
173,S Wuhlheide (Berlin),['S3'],52.468668,13.55424,Treptow-Köpenick,11009009
174,S Wuhlheide (Berlin),['S3'],52.468594,13.554145,Treptow-Köpenick,11009009
175,S Spindlersfeld (Berlin),['S47'],52.447135,13.561301,Treptow-Köpenick,11009009
176,S Hirschgarten (Berlin),['S3'],52.45795,13.603123,Treptow-Köpenick,11009009
177,S Hirschgarten (Berlin),['S3'],52.457868,13.603123,Treptow-Köpenick,11009009
178,S Friedrichshagen (Berlin),['S3'],52.457329,13.623213,Treptow-Köpenick,11009009
179,S Rahnsdorf (Berlin),['S3'],52.451598,13.689921,Treptow-Köpenick,11009009
180,S Rahnsdorf (Berlin),['S3'],52.451677,13.689947,Treptow-Köpenick,11009009
181,S Wilhelmshagen (Berlin),['S3'],52.438536,13.722166,Treptow-Köpenick,11009009
182,S Wilhelmshagen (Berlin),['S3'],52.438589,13.722319,Treptow-Köpenick,11009009
183,S Baumschulenweg (Berlin),"['S41', 'S8', 'S85', 'S9']",52.467495,13.489615,Treptow-Köpenick,11009009
184,S Baumschulenweg (Berlin),"['S41', 'S45', 'S46', 'S47', 'S8', 'S85', 'S9']",52.467637,13.489731,Treptow-Köpenick,11009009
185,S Baumschulenweg (Berlin),"['S42', 'S45', 'S46', 'S47']",52.467537,13.489686,Treptow-Köpenick,11009009
186,S Plänterwald (Berlin),"['S41', 'S8', 'S85', 'S9']",52.478467,13.47327,Treptow-Köpenick,11009009
187,S Plänterwald (Berlin),"['S8', 'S85', 'S9']",52.47853,13.47339,Treptow-Köpenick,11009009
188,S Schöneweide Bhf (Berlin),"['S41', 'S42', 'S45', 'S46', 'S47', 'S8', 'S85', 'S9']",52.454742,13.50973,Treptow-Köpenick,11009009
189,S Schöneweide Bhf (Berlin),"['S45', 'S46', 'S47', 'S85', 'S9']",52.4548,13.50983,Treptow-Köpenick,11009009
190,S Schöneweide Bhf (Berlin),"['S41', 'S42', 'S46', 'S47', 'S8', 'S85', 'S9']",52.45485,13.509917,Treptow-Köpenick,11009009
191,S Schöneweide Bhf (Berlin),"['S41', 'S45', 'S46', 'S8', 'S85', 'S9']",52.454912,13.510019,Treptow-Köpenick,11009009
192,S Oberspree (Berlin),['S47'],52.452447,13.538028,Treptow-Köpenick,11009009
193,S Johannisthal (Berlin),"['S41', 'S42', 'S45', 'S46', 'S8', 'S85', 'S9']",52.44662,13.524071,Treptow-Köpenick,11009009
194,S Johannisthal (Berlin),"['S41', 'S45', 'S46', 'S8', 'S85', 'S9']",52.446662,13.524141,Treptow-Köpenick,11009009
195,S Adlershof (Berlin),"['S41', 'S42', 'S45', 'S46', 'S8', 'S85', 'S9']",52.434867,13.541224,Treptow-Köpenick,11009009
