id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
926,Kita PiratenKids,Unknown,Unknown,Nan,52.5533836,13.3385457,PiratenKids gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
927,Kita Kinderkiez,"Wexstraße 22, 10715 Berlin",10715,Wilmersdorf,52.4788304,13.3334177,Kinderkiez Grün gUG,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
928,Die Glückstupfen,Unknown,Unknown,Nan,52.4788854,13.3246408,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
929,Papillon Rouge,"Katharinenstraße 20, 10711 Berlin",10711,Halensee,52.4995188,13.2924451,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
930,Schülerladen Hasenbau,Unknown,Unknown,Nan,52.4934198,13.4178672,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
931,Kita Freche Früchte,"Transvaalstraße 46, 13351 Berlin",13351,Wedding,52.5538571,13.344768,Kita Freche Früchte gUG,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
932,Kita Pîya,"Barfusstraße 13, 13349 Berlin",13349,Wedding,52.555568,13.3467226,Yekmal e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
933,"Kita Paradiesvögel ""Die Elstern""","Schönwalder Straße 17, 13347 Berlin",13347,Gesundbrunnen,52.5420536,13.3706773,eventus-BILDUNG e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
934,Kita Ritterburg,"Ritterstraße 35, 10969 Berlin",10969,Kreuzberg,52.5031615,13.4051772,Nestwärme e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
935,Kindertagesstätte Tübinger Straße,"Tübinger Straße 1, 10715 Berlin",10715,Wilmersdorf,52.4807907,13.3305635,Nachbarschaftsheim Schöneberg e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
936,KiLa Friedenauer Spatzen,"Sponholzstraße 51-52, 12159 Berlin",12159,Schöneberg,52.4744918,13.3408347,Frecher Spatz e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
937,Kita Kleine Küken,"Brandenburgische Straße 84/85, 10713 Berlin",10713,Wilmersdorf,52.4870552,13.3192157,Kinderladen Kleine Küken gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
938,Vielfalter,Unknown,Unknown,Nan,52.5542417,13.373197,Konsti e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
939,Kindertagespflegestelle Bouwmann,Unknown,Unknown,Nan,52.4668259,13.3328411,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
940,Kita Die Bärenbande,Unknown,Unknown,Nan,52.5601366,13.3804655,BEB Bildungseinrichtung für Erziehung und Bildung e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
941,Naturdetektive Kita Cecilien,"Ceciliengärten 40, 12159 Berlin",12159,Schöneberg,52.4738074,13.3430084,Naturdetektive gUG,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
942,Krabbelkiste,"Rubensstraße 28, 12159 Berlin",12159,Schöneberg,52.474822,13.3428716,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
943,Multi Lingua INternationaler Kindergarten,"Seesener Straße 44-46, 10711 Berlin",10711,Halensee,52.4940751,13.2940937,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
944,Krippe Die Mäuschen,"Holsteinische Straße 33a, 12161 Berlin",12161,Friedenau,52.4662891,13.3333798,Schöneberger Vorschulerziehung e.V,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
945,Kita MANNA Maria,"Mariendorfer Weg 28, 12051 Berlin",12051,Neukölln,52.4639499,13.4247009,Malteser Hilfsdienst e.V.,84.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
946,Spreepferdchen Waldorforientierte Kita,"Laubacher Straße 35, 14197 Berlin",14197,Wilmersdorf,52.4752629,13.3199592,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
947,Kleine Knöpfe,"Barstraße 28, 10713 Berlin",10713,Wilmersdorf,52.4818137,13.3132331,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
948,Unknown,Unknown,Unknown,Nan,52.4419303,13.4462582,Evangelischer Kirchenkreis Neukölln,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
949,Familya Adlershof,Unknown,Unknown,Nan,52.4366156,13.5273346,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
950,Alegria,Unknown,Unknown,Nan,52.511901,13.3882818,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
951,Platypus,"Blissestraße 60, 10713 Berlin",10713,Wilmersdorf,52.4798579,13.3200941,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
952,Knopf & Knöpfchen,"Fritz-Elsas-Straße 17, 10825 Berlin",10825,Schöneberg,52.482413,13.3427252,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
