kindergarten_id,district_id,name,address,postal_code,phone_number,email,website,coordinates,latitude,longitude,neighborhood,district,operator,capacity,source,created_at,updated_at
59,05,Kita SilberStern,"Stettiner Straße 56, 13357 Berlin",13357,,,,"52.5527052,13.3846057",52.5527052,13.3846057,Mitte,Mitte,SEHstern e. V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
60,08,Die Igelkinder,"Am Bärensprung 36, 13503 Berlin",13503,,,,"52.6106394,13.2474774",52.6106394,13.2474774,Reinickendorf,Reinickendorf,EKT Die Igelkinder e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
61,06,Kinderladen Igelkinder,"Sandsteinweg 25A, 12349 Berlin",12349,,,,"52.4172709,13.4016881",52.4172709,13.4016881,Neukölln,Neukölln,TÄKS e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
62,12,EKT - Die Grünspechte e.V.,Unknown,0,,,,"52.4624775,13.5884247",52.4624775,13.5884247,Treptow-Köpenick,Treptow-Köpenick,Unknown,15,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
63,07,Domino,"Lychener Straße 21, 10437 Berlin",10437,,,,"52.5423844,13.4158361",52.5423844,13.4158361,Pankow,Pankow,Deutsch-Französiche Kita Domino e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
64,11,Kita 'Wilde 13',"Fritz-Reuter-Straße 8, 10827 Berlin",10827,,,,"52.4803423,13.348152",52.4803423,13.348152,Tempelhof-Schöneberg,Tempelhof-Schöneberg,TÄKS e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
65,09,EKT - Die Seeburg e.V.,Unknown,0,,,,"52.5261266,13.1805079",52.5261266,13.1805079,Spandau,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
66,11,Schülerladen Minipfiff,Unknown,0,,,,"52.4902508,13.3517878",52.4902508,13.3517878,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
67,11,Kita Rosen,"Albertstraße 14-18, 10827 Berlin",10827,,,,"52.4839742,13.3537357",52.4839742,13.3537357,Tempelhof-Schöneberg,Tempelhof-Schöneberg,SHP e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
68,05,EKT - Die Ministerne e.V.,"Sternstraße 9, 13359 Berlin",13359,,,,"52.5650507,13.3898943",52.5650507,13.3898943,Mitte,Mitte,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
69,07,Pankis,"Heinrich-Böll-Straße 1, 13156 Berlin",13156,,,,"52.5876141,13.4027318",52.5876141,13.4027318,Pankow,Pankow,Die Pankis gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
70,07,EKT - Erdnuckel e.V.,"Choriner Straße 30, 10435 Berlin",10435,,,,"52.5357939,13.4099167",52.5357939,13.4099167,Pankow,Pankow,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
71,05,EKT Eisbär,"Sparrstraße 20, 13353 Berlin",13353,,,,"52.5422522,13.3594564",52.5422522,13.3594564,Mitte,Mitte,Verein zur Förderung integrativer Erziehung e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
72,07,Elfenland,"Pasteurstraße 15, 10407 Berlin",10407,,,,"52.5336213,13.433538",52.5336213,13.433538,Pankow,Pankow,Elfenland e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
73,02,Deutsch-Türkischer Kinderklub,"Nostitzstraße 6, 10961 Berlin",10961,,,,"52.4933173,13.3908463",52.4933173,13.3908463,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,EKT - Elterninitiative Deutsch-Türkischer Kinderklub e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
74,03,Kita „Sonnenhof“,"Archenholdstraße 72, 10315 Berlin",10315,,,,"52.5037708,13.5007695",52.5037708,13.5007695,Lichtenberg,Lichtenberg,Kindervereinigung Berlin,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
75,03,Kita „Erlenhof“,"Kraetkestraße 18, 10315 Berlin",10315,,,,"52.5045355,13.5076773",52.5045355,13.5076773,Lichtenberg,Lichtenberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
76,01,Kinderladen Eichhörnchen,"Harbigstraße 14, 14055 Berlin",14055,,,,"52.5032947,13.2637921",52.5032947,13.2637921,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Eikita Eichhörnchen e.V.,18,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
77,01,Kinderladen Eichkatzweg,"Eichkatzweg 11, 14055 Berlin",14055,,,,"52.4957971,13.2661489",52.4957971,13.2661489,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,EKT Eichkatzweg 11 e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
78,09,EKT - Dreiecke und Kreise e.V.,Unknown,0,,,,"52.5477809,13.208227",52.5477809,13.208227,Spandau,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
79,01,EKT - Droysen-Mäuse e.V.,Unknown,0,,,,"52.5010503,13.3022633",52.5010503,13.3022633,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
