id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at,neighborhood
1768,Kita Schlösschen-Süd,"Alt-Lichtenrade 29C, 12305 Berlin",12305,Lichtenrade,,,LifExperience gGmbH,24.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1769,Kita Schlesische Straße 3/4,Unknown,00000,Nan,,,Kindergärten City,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1770,Kita Auen,"Wilhelmsaue 118, 10715 Berlin",10715,Wilmersdorf,,,Evangelischer Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-West,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1771,Villa Comenius,"Wilhelmsaue 116-117, 10715 Berlin",10715,Wilmersdorf,,,Villa Comenius e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1772,Evangelische Kindertagesstätte Zur Heimat,Unknown,00000,Nan,,,Diakonisches Werk Steglitz und Teltow-Zehlendorf e.V,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1773,Kita Faradayweg,Unknown,00000,Nan,,,Evangelische Kirchengemeinde Berlin-Dahlem,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1774,Kindergarten FlowerKids,Unknown,00000,Nan,,,KitaNetz Berlin e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1775,Kita Steinstraße,"Steinstraße 14a, 12169 Berlin",12169,Nan,,,Kindertagesstätten Berlin Süd-West,65.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1776,Kindergarten Blumenstadt,Unknown,00000,Nan,,,Mitra e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1777,Kita St. Johannes Evangelist,Unknown,00000,Nan,,,Katholische Kirchengemeinde Sankt Benedikt Berlin,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1778,Kindertagesstätte Am Carlsgarten,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1779,Europa Kita II Mahlsdorf,Unknown,00000,Nan,,,Unknown,154.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1780,Kita Krümelzwerge,"Besenbinderstraße 2, 12524 Berlin",12524,Nan,,,offensiv' 91 e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1781,Kita „Wundertüte“,"Strausberger Straße 5, 13055 Berlin",13055,Alt-Hohenschönhausen,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1782,Kita Streustraße,"Streustraße 39 - 41, 13086 Berlin",13086,Weißensee,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1783,Kita Fridolin,"Max-Beer-Straße 24-26, 10119 Berlin",10119,Nan,,,Kindergärten City,190.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1784,Kita Windspiel,Frankfurter Allee 16a,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1785,Kita Märchenhaus,"Rudolf-Leonhard-Straße 10, 12679 Berlin",12679,Nan,,,Schwemler GmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1786,"Kita ""Kesse Früchtchen""","Wandlitzstraße 6, 10318 Berlin",10318,Karlshorst,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1787,Sternchen,"Titlisweg 60, 12107 Berlin",12107,Mariendorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1788,Kindertagesstätte Am Wegabogen,Unknown,00000,Nan,,,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1789,Villa Mima,Unknown,00000,Nan,,,Kita Mima GmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1790,Kita Kleiner Fratz Karolinenhof,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1791,Kita Varus Sol,"Dannenwalder Weg 95-97, 13439 Berlin",13439,Märkisches Viertel,,,BiZ – Betreuung im Zentrum gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1792,"Kita ""Himpelchen & Pimpelchen""","Hellersdorfer Promenade 36, 12627 Berlin",12627,Hellersdorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1793,Kita Kleine Kapitäne,"Hellersdorfer Promenade 23, 12627 Berlin",12627,Hellersdorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1794,Humanistische Kindertagesstätte Pro-Dia,"Landreiterweg 55, 12353 Berlin",12353,Buckow,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1795,Outlaw Kita Heerstraße,"Heerstraße 570, 13591 Berlin",13591,Staaken,,,Outlaw,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1796,Kita Wiesenweg,"Wiesenweg 20, 13591 Berlin",13591,Staaken,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1797,Krippe Haveleckchen,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1798,Kita Kleine Traber,Unknown,00000,Nan,,,Volkssolidarität Landesverband Berlin e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1799,Kita Mini-Mix-International,"Briesestraße 73-75, 12053 Berlin",12053,Nan,,,Jugend- und Sozialwerk gGmbH,280.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1800,Evangelische Kindertagesstätte Kita am Buschgraben,"Ludwigsfelder Straße 51, 14165 Berlin",14165,Zehlendorf,,,Ev. Paulus-Kirchengemeinde Zehlendorf,70.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1801,Kindergarten Holsteiner Ufer 12,"Holsteiner Ufer 12, 10557 Berlin",10557,Hansaviertel,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1802,Hexenkleckshausen / Elements,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1803,"Kita - Erknerstraße ""Villa Kunterbunt""","Erknerstraße 46, 12589 Berlin",12589,Rahnsdorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1804,"Kita ""Sonnenblümchen""","Vincent-van-Gogh-Straße 38, 13057 Berlin",13057,Neu-Hohenschönhausen,,,pad gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1805,Kita Bunte Spieltruhe,Unknown,00000,Nan,,,Kindergärten NordOst,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1806,Die Slups,Unknown,00000,Nan,,,Kreativitätsschulzentrum Berlin gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1807,Kita Am Treptower Park,Unknown,00000,Nan,,,Unknown,125.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1808,Kita Gänseblümchen,"Dietzgenstraße 25, 13156 Berlin",13156,Nan,,,Kita Gänseblümchen gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1809,KiTa Am Mauerpark,"Lichtburgring 11, 13355 Berlin",13355,Gesundbrunnen,,,Step Kids KiTas gGmbH,78.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1810,Kita Wassergeister,Unknown,00000,Nan,,,Kindertagesstätten Nordwest,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1811,Kita im Johannisstift,"Schönwalder Allee 26/35, 13587 Berlin",13587,Hakenfelde,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1812,Kita Wirbelwind,Unknown,00000,Nan,,,Humanistischer Verband Deutschlands e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1813,Kita Apfelbande,"Alt-Gatow 34, 14089 Berlin",14089,Nan,,,Evangelischer Kirchenkreis Spandau,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1814,Kita Naturdetektive,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1815,Kita Murmelstein,"Schweizer Tal 18, 13127 Berlin",13127,Französisch Buchholz,,,JAO gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1816,EKT - Sonnenhaus e.V.,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1817,EKT - Regenbogenkinder e.V.,"Sandhauser Straße 145, 13503 Berlin",13503,Heiligensee,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
1818,Global Village,"Ringstraße 28, 12105 Berlin",12105,Mariendorf,,,Global Village gUG,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
