kindergarten_id,district_id,name,address,postal_code,latitude,longitude,neighborhood,district,operator,capacity,source,created_at,updated_at
2140,11007007,Kita El Mundo de los Niños,"Goßlerstraße 8, 12161 Berlin",12161,,,,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2141,,Kita Erich Kästner,"Prager Straße 6, 10779 Berlin",10779,,,,,Kindertagesstätten Nordwest,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2142,,Freude Kindergarten,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2143,11003003,Kita der kleinen Kreativen,"Bahnhofstraße 33, 13125 Berlin",13125,,,,Pankow,Kita der kleinen Kreativen gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2144,11002002,Kita „Am Rudolfplatz“,"Rudolfstraße 14 B, 10245 Berlin",10245,,,,Friedrichshain-Kreuzberg,Jugendwerk Aufbau Ost,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2145,,Kita Neu-Westend 53,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2146,,Kita Blumenstraße,Unknown,Unknown,,,,,Orte für Kinder,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2147,,Kita Gänseblümchen,"Richard-Sorge-Straße 44, 10249 Berlin",10249,,,,,bik e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2148,,Kita Erdmännchen IV,Unknown,Unknown,,,,,Kita Erdmännchen gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2149,,Bärliner Bärchis,Unknown,Unknown,,,,,Bright Kids Kita gUG,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2150,,Schloss Undinchen,Unknown,Unknown,,,,,Kita Undinchen gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2151,,Stralauer Zwerge,"Glasbläserallee 7, 10245 Berlin",10245,,,,,AWO Kreisverband Berlin Spree-Wuhle e. V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2152,,Kita Stallschreiberstraße,"Stallschreiberstraße 13, 10969 Berlin",10969,,,,,Orte für Kinder,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2153,,Kita am Gleis,"Bautzener Straße 21, 10829 Berlin",10829,,,,,MAHALO gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2154,11007007,Kita Steinchen,"Steinstraße 11, 12307 Berlin",12307,,,,Tempelhof-Schöneberg,Kita Steinchen gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2155,,Kinderhaus Moabit,"Alt-Moabit 133b, 10557 Berlin",10557,,,,,Verein für praktische Pädagogik Moabit e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2156,,Kita Bunter Stern,"Tegeler Straße 6, 13353 Berlin",13353,,,,,SEHstern e. V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2157,11009009,Kita in Friedrichshagen,"Albert-Schweitzer-Straße 57, 12587 Berlin",12587,,,,Treptow-Köpenick,Jugendwerk Aufbau Ost (JAO) gGmbH,60,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2158,,Evangelische Kita St.Thomas,"Bethaniendamm 27, 10997 Berlin",10997,,,,,Evangelischer Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2159,,Kita Villa Sprechspatzen,"Pulvermühlenweg 8, 13599 Berlin",13599,,,,,BGFF e.V. – Berliner Gesellschaft für Förderung interkultureller Bildung und Erziehung,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2160,,Kita Glückspilze,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2161,11003003,Kita Sauseschritt,"Dietzgenstraße 104, 13158 Berlin",13158,,,,Pankow,Pfefferwerk Stadtkultur,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2162,11001001,Kita Kleiner Frosch,"Lübecker Straße 32, 10559 Berlin",10559,,,,Mitte,TEVBB Soziale Dienste gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2163,,Kita Theobald Tiger,"Perleberger Straße 39, 10559 Berlin",10559,,,,,TEVBB Soziale Dienste gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2164,11005005,Ev. Kita Martin-Albertz-Haus,"Gorgasring 12, 13599 Berlin",13599,,,,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2165,11005005,Kita Freinet-Haus Entdeckerland,"Richard-Münch-Straße 1-3, 13591 Berlin",13591,,,,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2166,,Hort der Bouché-Schule,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2167,,Humanistische Kita Bornsdorfer Straße,Unknown,Unknown,,,,,Unknown,90,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2168,11010010,Kita Taffy,"Zossener Straße 53-55, 12629 Berlin",12629,,,,Marzahn-Hellersdorf,Jugendwerk Aufbau Ost JAO gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2169,,Kita Sternenhof,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2170,11003003,Kulti,"Majakowskiring 58, 13156 Berlin",13156,,,,Pankow,Förderkreis Kulturbaracke e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2171,,Not Provided,"Mendelstraße 51, 13187 Berlin",13187,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2172,,Kita Villa Lobo,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2173,,Kita im Haus der Familie,Unknown,Unknown,,,,,Evangelische Kirchengemeinde Berlin-Niederschönhausen,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2174,,Kita Kreuzgraben,"Kreuzgraben 13, 13156 Berlin",13156,,,,,Kinder im Kiez,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2175,,Kita Schillerwiese,"Waldemarstraße 36, 13156 Berlin",13156,,,,,Vielfarb Social gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2176,,Klax Igelnest,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2177,,Kita Wattstraße / Kita Spatzennest,Unknown,Unknown,,,,,Kindertagesstätten SüdOst,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2178,11006006,Kita Murtener Straße,"Murtener Straße 10, 12205 Berlin",12205,,,,Steglitz-Zehlendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2179,11004004,Kita der Ev. Kreuz-Gemeinde Schmargendorf,"Elgersburger Straße 2, 14193 Berlin",14193,,,,Charlottenburg-Wilmersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2180,,Kita der Ev. Kirchengem. Melanchthon,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2181,,Kita Buddelkiste,"Germersheimer Weg 93, 13583 Berlin",13583,,,,,Kindertagesstätten Nordwest,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2182,,Kita der Ev. Kirchengem. Paulus,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2183,11006006,Thomas-Haus für Heilpädagogik + Sprachtherapie e.V.,"Peter-Lenné-Straße 42, 14195 Berlin",14195,,,,Steglitz-Zehlendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2184,,Montessori Kinderhaus,Unknown,Unknown,,,,,Montessori & Friends Education gGmbH,60,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2185,,Kita Kinderparadies Wedding,Unknown,Unknown,,,,,IBEB gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2186,,FRÖBEL-Kindergarten Lisa-Fittko-Straße,"Lisa-Fittko-Straße 9, 10557 Berlin",10557,,,,,FRÖBEL Bildung und Erziehung,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2187,11007007,Kita Kinder in Marienfelde,"Friedenfelser Straße 11, 12279 Berlin",12279,,,,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2188,,hisa Kita Malteserstraße,"Malteserstraße 171b, 12277 Berlin",12277,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2189,,Kinderzentrum Lindenhof,"Reglinstraße 27a, 12105 Berlin",12105,,,,,Nachbarschaftsheim Schöneberg e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2190,11012012,Kita Sonnenblume,"Spießweg 7, 13437 Berlin",13437,,,,Reinickendorf,Evangelische Kirchengemeinde Alt Wittenau,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2191,,BOOT-Kita FriDA,"Fürstenwalder Damm 427 B, 12587 Berlin",12587,,,,,Gemeinnützige BOOT GmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2192,,Freie Kita Marzahn,"Karl-Holtz-Straße 8, 12687 Berlin",12687,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2193,,Evangelische Kita Tabor,"Cuvrystraße 36, 10997 Berlin",10997,,,,,Evangelischer Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2194,11008008,Evangelische Kita Philipp-Melanchthon,"Bruno-Bauer-Straße 14, 12051 Berlin",12051,,,,Neukölln,Evangelischer Kirchenkreis Neukölln,90,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2195,11007007,Kita Paradiesvögel,"Bacharacher Straße 47, 12099 Berlin",12099,,,,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2196,11007007,Kita der Ev. Kirchengem. Marienfelde,"Kirchstraße 31, 12277 Berlin",12277,,,,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2197,,Gelbgrüne Panther,"Ella-Barowsky-Straße 27, 10829 Berlin",10829,,,,,Schwulenberatung Berlin gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2198,,Rosarote Tiger,"Ella-Barowsky-Straße 28, 10829 Berlin",10829,,,,,Schwulenberatung Berlin gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2199,,Kita Gipfelstürmer,"Triftstraße 67, 13353 Berlin",13353,,,,,Soziale Dienste Bürgermeister Reuter gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2200,,Kita Alsenstraße,"Alsenstraße 16, 14109 Berlin",14109,,,,,Kindertagesstätten Berlin Süd-West,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2201,,Kita Cuvrystraße 26a,Unknown,Unknown,,,,,Kindergärten City,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
