pool_id,name,pool_type,street,postal_code,latitude,longitude,open_all_year,district,district_id
8379,Tertianum Residenz Schöneberg,Klinikbad,Passauer Str. 5-7,10789,52.50115,13.33957,True,Tempelhof-Schöneberg,3
8380,Tranxx Berlin,Hallenbad,Akazienstraße 27/28,10823,52.48684,13.35497,True,Tempelhof-Schöneberg,3
8381,Flughafensee,Natürliche Badestelle,Unknown,13507,52.56843,13.28369,True,Reinickendorf,1
8496,Geatriezentrum Berlin,Klinikbad,Reinickendorfer Str. 61,13347,52.55456,13.36572,True,Mitte,11
8498,Holmes Place Neue Welt,Sonstiges Bad,Hasenheide 109,10967,52.4855,13.42189,True,Friedrichshain-Kreuzberg,5
8499,Schwimmschule Robbi,Hallenbad,Alt-Britz 101B,12359,52.44496,13.43625,True,Neukölln,9
8500,Schule am Park,Schulbad,Eichborndamm 276 – 284,13437,52.59398,13.32978,True,Reinickendorf,1
8501,Schule am Pappelhof,Schulbad,Eilenburger Str. 4,12627,52.54015,13.62883,True,Marzahn-Hellersdorf,8
8578,Schilling Schule Berlin,Schulbad,Paster-Behrens-Straße 81,12359,52.44276,13.44384,True,Neukölln,9
8581,Helios Berlin,Freibad,Im Jagen 57,14193,52.48437,13.25038,False,Charlottenburg-Wilmersdorf,12
8626,Finkenkrug Schule,Schulbad,Mannheimer Str. 21,10713,52.4844,13.3161,True,Charlottenburg-Wilmersdorf,12
8634,Helene Häusel Schule,Schulbad,Mendelssohnstraße 10,10405,52.5269,13.41938,True,Pankow,6
8637,Erna Linder Haus,Klinikbad,Bahnhofstraße 7A,12305,52.38768,13.40646,True,Tempelhof-Schöneberg,3
9940,Radfahrerwiese,Natürliche Badestelle,Havelchaussee,14193,52.456028,13.188304,False,Steglitz-Zehlendorf,10
9941,Badestelle Sandhausen,Natürliche Badestelle,Sandhauser Str. 61,13505,52.594441,13.22086,False,Reinickendorf,1
9942,Schlachtensee,Natürliche Badestelle,Am schlachtensee,14129,52.441468,13.213535,False,Steglitz-Zehlendorf,10
9943,Teufelssee,Natürliche Badestelle,Teufelsseechaussee,14193,52.491031,13.233136,False,Charlottenburg-Wilmersdorf,12
9947,Alter Hof,Natürliche Badestelle,Uferpromenade,14109,52.433297,13.142397,False,Steglitz-Zehlendorf,10
9948,Bammelecke,Natürliche Badestelle,Sportpromenade 15,12527,52.407579,13.622649,False,Treptow-Köpenick,2
9949,Breitehorn,Natürliche Badestelle,Breitehornweg 40,14089,52.465649,13.17987,False,Spandau,7
9951,Bürgerablage,Natürliche Badestelle,Niederneuendorfer Allee 80,13587,52.585114,13.211398,False,Spandau,7
9952,Dämeritzsee,Natürliche Badestelle,Unknown,12589,52.426804,13.735059,False,Treptow-Köpenick,2
9953,Groß Glienicker See Nord,Natürliche Badestelle,Uferpromenade,14089,52.471872,13.118485,False,Spandau,7
9955,Groß Glienicker See Süd,Natürliche Badestelle,Verlängerte Uferpromenade 48,14089,52.460646,13.114743,False,Spandau,7
9956,Große Krampe,Natürliche Badestelle,Gosener Damm,12559,52.39698,13.653033,False,Treptow-Köpenick,2
9957,Große Steinlanke,Natürliche Badestelle,Badeweg 1,14193,52.454812169362,13.186067360138,False,Steglitz-Zehlendorf,10
9958,Badestelle Grunewaldturm,Natürliche Badestelle,Havelchaussee,14193,52.481989,13.194461,False,Charlottenburg-Wilmersdorf,12
9959,Kleine Badewiese,Natürliche Badestelle,Am Wiesenhaus 8,14089,52.483144,13.185883,False,Spandau,7
9961,Kleiner Müggelsee,Natürliche Badestelle,Hinter der Düne 8,12559,52.42837,13.677193,False,Treptow-Köpenick,2
9962,Krumme Lanke,Natürliche Badestelle,Unknown,14163,52.452258,13.233758,False,Steglitz-Zehlendorf,10
9963,Lieper Bucht,Natürliche Badestelle,Havelchaussee 2,14193,52.469353,13.196756,False,Steglitz-Zehlendorf,10
10223,DRK Kliniken Berlin,Klinikbad,Britzer Straße 91,12109,52.439755737656,13.397093152932,False,Tempelhof-Schöneberg,3
10224,Wannseeschule,Schulbad,Zum Heckeshorn 36 ,14109,52.430555890989,13.161793621188,False,Steglitz-Zehlendorf,10
10231,Evangelisches Hubertuskrankenhaus,Klinikbad,Spanische Allee 10-14,14129,52.431207767807,13.219199007359,True,Steglitz-Zehlendorf,10
10232,Schwimmbad Berlin Steglitz,Hallenbad,Grunewaldstraße 14a,12165,52.459351100537,13.31478191951,True,Steglitz-Zehlendorf,10
10238,Badestelle Reiherwerder am Forsthaus,Natürliche Badestelle,Schwarzer Weg 69,13505,52.585398129862,13.255379600268,False,Reinickendorf,1
10504,Badestelle Reiswerder,Natürliche Badestelle,Bernauer Straße 160,13507,52.56826,13.256,False,Reinickendorf,1
10505,Badestelle Saatwinkel,Natürliche Badestelle,Im Saatwinkel 65,13599,52.56234,13.24679,True,Reinickendorf,1
10506,Badestelle Scharfenberg,Natürliche Badestelle,Schwarzer Weg 99,13505,52.57552,13.24402,True,Reinickendorf,1
10507,Badestelle Schmöckwitz,Natürliche Badestelle,Wernsdorfer Straße 30,12527,52.37322,13.65275,True,Treptow-Köpenick,2
10508,Seddinsee,Natürliche Badestelle,Seddinpromenade,12527,52.38848,13.68237,True,Treptow-Köpenick,2
10509,Freibad Tegeler See,Naturbad,Schwarzer Weg 21,13505,52.57837,13.24602,False,Reinickendorf,1
10510,Freibad Wendenschloss,Naturbad,Möllhausenufer 30,12557,52.41499,13.6003,False,Treptow-Köpenick,2
