Bad-ID,Name,Badtyp,Straße,Postleitzahl,Ort,Breitengrad,Längengrad,eu_badegewaesser,Öffnungsstunden pro Jahr,Baujahr,Ganzjährig geöffnet,Name des Eigentümers,Ermäßigung Kind,Ermäßigung Familie,Ermäßigung Behinderte
8581,Helios Berlin,Freibad,Im Jagen 57,14193,Berlin,52.48437,13.25038,nein,,,nein,,,,
8626,Finkenkrug Schule,Schulbad,Mannheimer Str. 21,10713,Berlin,52.4844,13.3161,nein,,,ja,,nein,nein,nein
8634,Helene Häusel Schule,Schulbad,Mendelssohnstraße 10,10405,Berlin,52.5269,13.41938,nein,,,ja,,nein,nein,nein
8637,Erna Linder Haus,Klinikbad,Bahnhofstraße 7A,12305,Berlin,52.38768,13.40646,nein,,,ja,,nein,nein,nein
9940,Radfahrerwiese,Natürliche Badestelle,Havelchaussee,14193,Berlin,52.456028,13.188304,,,,,,,,
9941,Badestelle Sandhausen,Natürliche Badestelle,Sandhauser Str. 61,13505,Berlin,52.594441,13.22086,,,,nein,,,,
9942,Schlachtensee,Natürliche Badestelle,Am schlachtensee,14129,Berlin,52.441468,13.213535,,,,,,,,
9943,Teufelssee,Natürliche Badestelle,Teufelsseechaussee,14193,Berlin,52.491031,13.233136,,,,,,,,
9947,Alter Hof,Natürliche Badestelle,Uferpromenade,14109,Berlin,52.433297,13.142397,,,,,,,,
9948,Bammelecke,Natürliche Badestelle,Sportpromenade 15,12527,Berlin,52.407579,13.622649,,,,,,,,
9949,Breitehorn,Natürliche Badestelle,Breitehornweg 40,14089,Berlin,52.465649,13.17987,,,,,,,,
9951,Bürgerablage,Natürliche Badestelle,Niederneuendorfer Allee 80,13587,Berlin,52.585114,13.211398,,,,,,,,
9952,Dämeritzsee,Natürliche Badestelle,,12589,Berlin,52.426804,13.735059,,,,,,,,
9953,Groß Glienicker See Nord,Natürliche Badestelle,Uferpromenade,14089,Berlin,52.471872,13.118485,,,,,,,,
9955,Groß Glienicker See Süd,Natürliche Badestelle,Verlängerte Uferpromenade 48,14089,Berlin,52.460646,13.114743,,,,,,,,
9956,Große Krampe,Natürliche Badestelle,Gosener Damm,12559,Berlin,52.39698,13.653033,,,,,,,,
9957,Große Steinlanke,Natürliche Badestelle,Badeweg 1,14193,Berlin,52.454812169362,13.186067360138,,,,,,,,
9958,Badestelle Grunewaldturm,Natürliche Badestelle,Havelchaussee,14193,Berlin,52.481989,13.194461,,,,,,,,
