osm_type,osm_id,name,website,opening_hours,addr_street,addr_housenumber,addr_postcode,addr_city,lat,lon,wheelchair,operator,brand,start_date,level,source
way,449574126,Spandau Arcaden,https://www.spandau-arcaden.de/,Mo-Sa 10:00-20:00,Klosterstraße,3,13581,Berlin,52.5337689,13.1966537,yes,,,,,OSM Overpass
way,494737961,Mall of Berlin,https://www.mallofberlin.de/,Mo-Sa 10:00-21:00,Leipziger Platz,12,10117,Berlin,52.5105691,13.3813724,yes,,,,,OSM Overpass
way,512957003,Plaza Marzahn,,24/7,Mehrower Allee,20,12687,Berlin,52.5556413,13.5586819,,,,,,OSM Overpass
way,513015071,Castello,http://www.castelloberlin.de/,Mo-Fr 06:00-20:00; Sa 06:00-20:00,,,,,52.5322726,13.4691626,yes,,,,,OSM Overpass
way,515927450,"Einkaufszentrum ""Zu den Eichen""",,,,,,,52.5654272,13.5714421,,,,,,OSM Overpass
way,566145932,Schönhauser Allee Arcaden,https://schoenhauseralleearcaden.de/,Mo-Sa 10:00-20:00,Schönhauser Allee,,10439,Berlin,52.5494818,13.4154267,yes,,,,,OSM Overpass
way,594722015,Seddiner Passagen,,,Seddiner Straße,8,10315,Berlin,52.5134235,13.5216971,yes,,,,,OSM Overpass
way,594722016,Seddiner Passagen,,,Seddiner Straße,8,10315,Berlin,52.5134614,13.5222653,,,,,,OSM Overpass
way,615700425,East Side Mall,https://www.eastsidemall.de/,Mo-Sa 10:00-21:00,Tamara-Danz-Straße,11,10243,Berlin,52.5061593,13.4466389,,,,,,OSM Overpass
way,682543123,Südmeile,,Mo-Sa 07:00-22:00,,,,,52.4096389,13.3812564,yes,,,,,OSM Overpass
way,703257706,Kaufmitte Siemensstadt,,Mo-Sa 06:00-22:00,,,,,52.5363177,13.2750963,,,,1961-10-26,,OSM Overpass
way,753249359,Moa Bogen,,Mo-Sa 07:00-22:00,,,,,52.5320391,13.344805,,,,,,OSM Overpass
way,1035930982,Biesdorf Center,https://www.biesdorf-center.de/,Mo-Sa 09:30-20:00,Weißenhöher Straße,108,12683,Berlin,52.5064438,13.5590298,yes,Greenman Biesdorf B.V.,,,,OSM Overpass
way,1041665235,Märkische Zeile,https://www.maerkische-zeile.de/,"Mo-Fr 09:30-20:00, Sa 09:00-20:00",Senftenberger Ring,17,13439,Berlin,52.5992116,13.3545864,,ECE Marketplaces GmbH & Co. KG,,,,OSM Overpass
way,1054276972,Europa-Center,,Mo-Sa 10:00-20:00,,,,,52.5043341,13.3380417,,,,1965-04,,OSM Overpass
way,1065811824,Ring-Center Berlin II,,Mo-Sa 10:00-20:00; PH off,Frankfurter Allee,113-117,10365,Berlin,52.5143274,13.4765019,yes,,,,,OSM Overpass
way,1238152790,Tempelhofer Hafen,,Mo-Sa 10:00-20:00,,,,,52.4558061,13.386016,yes,,,2009-04-29,,OSM Overpass
way,1244901436,Märkisches Zentrum,https://www.maerkisches-zentrum.de/,,Senftenberger Ring,3a,13439,Berlin,52.5976128,13.3545182,yes,MV Geschäftshaus-Marketing GmbH,,,,OSM Overpass
relation,380240,The Q,,Mo-Sa 08:00-22:00,Friedrichstraße,67,10117,Berlin,52.5126135,13.390499,yes,,,,,OSM Overpass
relation,2671992,,,,,,,,52.5223779,13.465988,yes,,,,,OSM Overpass
relation,4540346,Neumann-Forum,,Mo-Sa 07:00-21:00,,,,,52.5613783,13.4227619,,,,,,OSM Overpass
relation,7701165,Gropius Passagen,https://www.gropius-passagen.de/,Mo-Sa 10:00-20:00,,,,,52.4301282,13.4551989,yes,Unibail-Rodamco-Westfield,Westfield,,,OSM Overpass
relation,8504555,Forum Landsberger Allee,,,,,,,52.5292601,13.4563404,yes,,,,,OSM Overpass
relation,17353905,GEHAG Einkaufzentrum,,,,,,,52.4375589,13.4463336,,,,,,OSM Overpass
relation,19445153,Dolgensee-Center,,,,,,,52.4935737,13.5072316,,,,,,OSM Overpass
