,index,stop_id,district_id,name,address,latitude,longitude,neighborhood,district
406,409,900182514,11009009,Brösener Str. (Berlin),"Brösener Str., 12587 Berlin, Germany",52.459141,13.635045,Friedrichshagen,Treptow-Köpenick
407,410,900074209,11006006,Blohmstr./Illigstr. (Berlin),"Blohmstr./Illigstr., 12307 Berlin, Germany",52.388908,13.385981,Lichtenrade,Steglitz-Zehlendorf
408,412,900171541,11010010,Boschpoler Platz (Berlin),"Boschpoler Platz, 12683 Berlin, Germany",52.527576,13.55567,Biesdorf,Marzahn-Hellersdorf
409,413,900171512,11010010,Brebacher Weg (Berlin),"Brebacher Weg, 12683 Berlin, Germany",52.513058,13.5699,Biesdorf,Marzahn-Hellersdorf
410,414,900083235,11008008,Buchsbaumweg/Mistelweg (Berlin),"Buchsbaumweg/Mistelweg, 12357 Berlin, Germany",52.426178,13.500162,Gropiusstadt,Neukölln
411,415,900150507,11011011,Bürknersfelder Str. Ost (Berlin),"Bürknersfelder Str. Ost, 13053 Berlin, Germany",52.541878,13.527067,Alt-Hohenschönhausen,Lichtenberg
412,416,900150506,11011011,Bürknersfelder Str. West (Berlin),"Bürknersfelder Str. West, 13053 Berlin, Germany",52.541249,13.523093,Alt-Hohenschönhausen,Lichtenberg
413,418,900100020,11007007,S+U Potsdamer Platz Bhf (Berlin),"Potsdamer Platz 11, 10785 Berlin, Germany",52.509355,13.376551,Schöneberg,Tempelhof-Schöneberg
414,419,900161508,11011011,Criegernweg (Berlin),"Criegernweg, 10319 Berlin, Germany",52.500734,13.521763,Friedrichsfelde,Lichtenberg
415,420,900003255,11001001,Clara-Jaschke-Str. (Berlin),"Clara-Jaschke-Str., 10557 Berlin, Germany",52.524969,13.366232,Hansaviertel,Mitte
416,421,900096309,11012012,Calauer Str. (Berlin),"Calauer Str., 13435 Berlin, Germany",52.603885,13.350977,Märkisches Viertel,Reinickendorf
