,bank_id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
101,472430735,deutsche bank,deutsche bank,nan,johannisthaler chaussee,300,12351,unknown,true,true,52.4307672,13.455791,Neukölln,11008008
102,472514884,sparkasse sb-center,nan,berliner sparkasse,am treptower park,14,12435,mo-su 08:00-22:00,true,true,52.4908662,13.4574268,Treptow-Köpenick,11009009
103,486078400,deutsche bank,deutsche bank,nan,marzahner promenade,25,12679,"mo,tu,th 10:00-12:30,14:00-18:00; we,fr 10:00-14:00",unknown,unknown,52.5437749,13.546687,Marzahn-Hellersdorf,11010010
104,493681654,commerzbank,commerzbank,nan,kaiserdamm,118,14057,"mo-we 09:00-13:00, mo 14:00-16:00, tu,th 14:30-18:00",unknown,false,52.5106007,13.2969401,Charlottenburg-Wilmersdorf,11004004
105,493681656,deutsche bank,deutsche bank,nan,bismarckstraße,68,10627,"mo-th 10:00-18:00, fr 10:00-14:00",true,true,52.5107652,13.2981039,Charlottenburg-Wilmersdorf,11004004
106,500086133,berliner volksbank,berliner volksbank,nan,hohenzollerndamm,95,14199,unknown,true,true,52.4767912,13.2802998,Charlottenburg-Wilmersdorf,11004004
107,500339585,sparkasse,nan,berliner sparkasse,frankfurter allee,111,10247,mo-fr 09:30-18:00; ph off,true,true,52.5139618,13.4746576,Friedrichshain-Kreuzberg,11002002
108,508423750,commerzbank,commerzbank,nan,teplitzer straße,42,14193,"mo, we, fr 09:00-13:00; tu 09:00-13:00,14:00-16:00; th 09:00-13:00,14:00-18:00; sa, su, ph off",true,false,52.4774757,13.2810552,Charlottenburg-Wilmersdorf,11004004
109,508504964,sparkasse,nan,berliner sparkasse,bahnhofstraße,33-38,12555,"mo,we,fr 09:30-15:00; ph off; tu,th 09:30-18:00",true,true,52.4584176,13.5788701,Treptow-Köpenick,11009009
110,508657349,targobank,targobank,targo bank,nan,nan,nan,24/7,true,false,52.5878887,13.2851036,Reinickendorf,11012012
111,510622166,targobank,targobank,targobank,nan,nan,nan,unknown,true,unknown,52.4580147,13.3844309,Tempelhof-Schöneberg,11007007
