element,id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
node,3780861041,sparkasse,nan,berliner sparkasse,residenzstraße,117,13409,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5653949,13.3638471,Reinickendorf,nan
node,3801390185,merck finck & co,nan,nan,nan,nan,nan,unknown,unknown,unknown,52.5022458,13.3257578,Charlottenburg-Wilmersdorf,nan
node,3804836464,bbbank,bbbank,baden-württembergischer genossenschaftsverband,luisenstraße,41,10117,"mo,we 9:00-13:30, 14:30-16:00, tu, th 9:00-13:30, 14:30-18:30, fr 9:00-13:30",true,true,52.5222017,13.3798834,Mitte,nan
node,3831846457,deutsche apotheker- und ärztebank,apobank,deutsche apotheker- und ärztebank eg,kantstraße,129,10625,mo-th 08:30-16:00; we 08:30-17:00; fr 08:30-15:00,true,true,52.5061552,13.3129289,Charlottenburg-Wilmersdorf,nan
node,3923928387,sparda-bank berlin,sparda-bank berlin,sparda-bank berlin eg,georgenstraße,23,10117,"mo,tu,th 09:00-13:00,14:00-18:00, we,fr 09:00-13:00; ph off",true,true,52.5196275,13.3865271,Mitte,nan
node,3959492199,targobank,targobank,nan,nan,nan,nan,unknown,unknown,unknown,52.5379735,13.6040853,Marzahn-Hellersdorf,nan
node,3959492214,berliner volksbank,berliner volksbank,berliner volksbank eg,nan,nan,nan,"mo-th 10:00-13:00,14:00-18:00, we,fr 10:00-13:00,14:00-16:00; ph off",true,unknown,52.5378952,13.604096,Marzahn-Hellersdorf,nan
node,4016608995,berliner volksbank,berliner volksbank,berliner volksbank eg,nan,nan,nan,mo-fr 10:00-13:00,true,unknown,52.4921793,13.3869499,Friedrichshain-Kreuzberg,nan
node,4057899359,berliner volksbank,berliner volksbank,berliner volksbank,rudower chaussee,9,12489,mo-fr 09:00-18:00,true,true,52.4328568,13.5367968,Treptow-Köpenick,nan
node,4111673894,postbank,postbank,postbank,schloßstraße,21,12163,mo-fr 10:00-19:00; sa 09:00-14:00; su off,true,unknown,52.4602939,13.3236624,Steglitz-Zehlendorf,nan
node,4224268265,reisebank,reisebank,nan,müllerstraße,30,13353,mo-fr 10:00-18:00,unknown,unknown,52.5475319,13.357655,Mitte,nan
node,4304451193,lbs,nan,nan,nan,nan,nan,unknown,unknown,false,52.4562208,13.577197,Treptow-Köpenick,nan
node,4304451194,deutsche bank,deutsche bank,deutsche bank,bahnhofstraße,41,12555,unknown,true,unknown,52.4568785,13.5776433,Treptow-Köpenick,nan
node,4457967201,denizbank,denizbank,nan,friedrichstraße,56,10117,"mo-fr 09:00-12:00,13:00-17:00",unknown,true,52.5097512,13.3902008,Mitte,nan
node,4464731328,psd bank berlin-brandenburg,psd bank,psd bank berlin-brandenburg eg,handjerystraße,34-36,12159,"mo,we 09:00-18:00; tu,th 09:00-15:00; fr 09:00-14:00",true,unknown,52.4712266,13.332116,Tempelhof-Schöneberg,nan
node,4515050389,sparkasse,nan,berliner sparkasse,torstraße,131,10119,"tu,th 09:30-18:00; mo 09:30-15:00",true,true,52.5297566,13.3999792,Mitte,nan
node,4537589632,vietin bank,nan,nan,nan,nan,nan,"mo-th 09:00-13:00, mo,we 14:00-16:00, tu,th 14:00-17:00, fr 09:00-14:30",unknown,true,52.5236237,13.4799737,Lichtenberg,nan
node,4537589638,targobank,targobank,nan,nan,nan,nan,"mo,tu,th 10:00-13:00,14:00-18:00; we,fr 10:00-13:00",unknown,true,52.544059,13.5473669,Marzahn-Hellersdorf,nan
node,4537589642,berliner sparkasse,nan,nan,nan,nan,nan,"""nach vereinbarung""",unknown,true,52.5432793,13.5463128,Marzahn-Hellersdorf,nan
node,4537589643,commerzbank,commerzbank,nan,nan,nan,nan,24/7,unknown,true,52.5429898,13.5439631,Marzahn-Hellersdorf,nan
node,4554017836,western union,western union,nan,kaiser-friedrich-straße,nan,10627,mo-sa 09:00-20:00,unknown,false,52.5075807,13.3024475,,nan
node,4712176336,sparda-bank berlin,sparda-bank berlin,sparda-bank eg,baumschulenstraße,84/85,12437,"mo,tu,th 09:00-13:00, tu,th 14:00-18:00",true,true,52.4650346,13.4860903,Treptow-Köpenick,nan
node,4715193690,hypovereinsbank,hypovereinsbank,nan,nan,nan,nan,"mo 10:00-13:00; th 14:30-17:00; tu,we,fr off",unknown,false,52.4546767,13.6249033,Treptow-Köpenick,nan
node,4719368482,sparkasse,nan,berliner sparkasse,hasenheide,119,10967,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4862488,13.4238853,Neukölln,nan
node,4722086754,nan,nan,nan,hellersdorfer straße,77,12619,"mo,we,fr 09:30-15:00, tu,th 09:30-18:00; ph off",true,true,52.5210781,13.5873974,Marzahn-Hellersdorf,nan
node,4723290160,sparkasse,nan,berliner sparkasse,alte hellersdorfer straße,148,12629,"mo,we,fr 09:30-15:00, tu,th 09:30-18:00; ph off",true,true,52.5473104,13.5928928,Marzahn-Hellersdorf,nan
node,4723299597,sparkasse,nan,berliner sparkasse,marzahner promenade,1a,12679,"tu,th 09:30-18:00; mo,we,fr 09:30-15:00",true,true,52.5435705,13.5436114,Marzahn-Hellersdorf,nan
node,4724052367,sparkasse,nan,berliner sparkasse,mehrower allee,22,12687,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5555795,13.5609821,Marzahn-Hellersdorf,nan
node,4724701017,sparkasse,nan,berliner sparkasse,hauptstraße,13a,13127,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",unknown,true,52.6051514,13.4321245,Pankow,nan
node,4724815743,sparkasse,nan,berliner sparkasse,senftenberger ring,1,13439,"mo-fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5985978,13.3556396,Reinickendorf,nan
node,4909118855,sparda-bank berlin,sparda-bank berlin,sparda-bank berlin eg,mehrower allee,20,12687,"tu, we, fr 10:00-13:00; mo 10:00-13:00, 16:00-18:00; th 09:00-13:00, 14:00-18:00",true,true,52.5556985,13.5593851,Marzahn-Hellersdorf,nan
node,4987882622,commerzbank,commerzbank,nan,nan,nan,nan,unknown,unknown,true,52.429988,13.4552831,Neukölln,nan
node,5147944700,berliner volksbank,berliner volksbank,nan,nan,nan,nan,24/7,true,true,52.5051114,13.3420037,Mitte,nan
node,5245852613,kd-bank - bank f. kirche u. diakonie,nan,nan,friedrichstraße,200,nan,unknown,unknown,true,52.5090141,13.38978,Mitte,nan
node,5471345774,berliner sparkasse,nan,berliner sparkasse,neumannstraße,13,13189,mo 09:30-15:00; tu 09:30-18:00; fr 09:30-15:00,unknown,true,52.5615408,13.4223373,Pankow,nan
node,5718697021,western union,western union,nan,nan,nan,nan,unknown,false,unknown,52.498426,13.3619781,Tempelhof-Schöneberg,nan
node,5774792924,deutsche bank,deutsche bank,nan,nan,nan,nan,unknown,unknown,true,52.5372453,13.2060017,Spandau,nan
