,id,name,lat,lon,tram,bus,adress
129,900052351,Am Rohrgarten (Berlin),52.426429,13.227204,False,True,"Am Rohrgarten, 14163 Berlin, Germany"
130,900132524,Am Rollberg (Berlin),52.595085,13.392777,False,True,"Am Rollberg, 13158 Berlin, Germany"
131,900176006,Am Rosenhag (Berlin),52.524762,13.621804,False,True,"Am Rosenhag, 12623 Berlin, Germany"
132,900074153,Am Rötepfuhl (Berlin),52.41531,13.420544,False,True,"Am Rötepfuhl, 12349 Berlin, Germany"
133,900083208,Am Rudower Waldrand (Berlin),52.409233,13.475693,False,True,"Am Rudower Waldrand, 12355 Berlin, Germany"
134,900196512,Am Seegraben (Berlin),52.399075,13.546663,False,True,"Grünbergallee 290, 12526 Berlin, Germany"
135,900135507,Am Stener Berg (Berlin),52.637775,13.506526,False,True,"Am Stener Berg, 13125 Berlin, Germany"
136,900194001,Am Studio/Köpenicker Str. (Berlin),52.426906,13.545782,False,True,"Am Studio 16, 12489 Berlin, Germany"
137,900089454,Am Tegeler Fließ (Berlin),52.6034,13.289536,False,True,"Am Tegeler Fließ, 13467 Berlin, Germany"
138,900176541,Am Theodorpark (Berlin),52.50139,13.620599,False,True,"Pilgramer Str. 321A, 12623 Berlin, Germany"
139,900095102,Am Vierrutenberg (Berlin),52.613657,13.344145,False,True,"Berlin, Am Vierrutenberg, 13469 Berlin, Germany"
140,900044102,Am Volkspark (Berlin),52.483664,13.32036,False,True,"Volkspark Wilmersdorf (West), 10715 Berlin, Germany"
141,900133504,Am Wäldchen (Berlin),52.626367,13.384758,False,True,"Schildower Str. 27, 13159 Berlin, Germany"
142,900132510,Am Wiesengrund (Berlin),52.593278,13.372785,False,True,"Am Wiesengrund, 13158 Berlin, Germany"
143,900037161,Am Zeppelinpark (Berlin),52.528843,13.127127,False,True,"Am Zeppelinpark, 13591 Berlin, Germany"
144,900064306,Amalienstr. (Berlin),52.429971,13.333439,False,True,"Kaiser-Wilhelm-Straße 6, 12247 Berlin, Germany"
145,900063253,Amfortasweg (Berlin),52.445738,13.324477,False,True,"Klingsorstraße 85, 12167 Berlin, Germany"
146,900027253,Amorbacher Weg (Berlin),52.557276,13.207779,False,True,"Amorbacher Weg, 13587 Berlin, Germany"
147,900024104,Amtsgerichtsplatz (Berlin),52.506856,13.295423,False,True,"Amtsgerichtspl. 1, 10627 Berlin, Germany"
148,900081257,An den Achterhöfen (Berlin),52.4218,13.437876,False,True,"Buckower Damm 249, 12349 Berlin, Germany"
149,900176517,An den Siedlergärten (Berlin),52.529787,13.631162,True,True,"An den Siedlergärten, 12623 Berlin, Germany"
150,900092254,An der Buche (Berlin),52.630889,13.284394,False,True,"An der Buche, 13465 Berlin, Germany"
151,900089391,An der Mühle (Berlin),52.593835,13.281023,False,True,"Karolinenstraße 1, 13507 Berlin, Germany"
152,900052203,An der Rehwiese (Berlin),52.434115,13.199832,False,True,"An der Rehwiese, 14129 Berlin, Germany"
153,900091158,An der Schneise (Berlin),52.601126,13.246252,False,True,"Heiligenseestraße 8-10, 13503 Berlin, Germany"
154,900056105,An der Urania (Berlin),52.501076,13.346797,False,True,"Internationale Stele GEGEN DAS VERGESSEN, An d. Urania 22, 10787 Berlin, Germany"
155,900175506,An der Wuhle (Berlin),52.485174,13.565388,False,True,"Lindenstraße 67, 12621 Berlin, Germany"
156,900120023,Andreasstr./Lange Str. (Berlin),52.512222,13.430918,False,True,"Andreasstr./Lange Str., 10243 Berlin, Germany"
157,900049372,Andréezeile (Berlin),52.410339,13.26611,False,True,"Andréezeile, 14165 Berlin, Germany"
158,900180528,Anemonenstr. (Berlin),52.444048,13.593596,False,True,"Anemonenstr., 12559 Berlin, Germany"
159,900070405,Ankogelweg (Berlin),52.419526,13.398332,False,True,"Mariendorfer Damm 393, 12107 Berlin, Germany"
160,900193504,Anna-Seghers-Str. (Berlin),52.435544,13.543867,False,True,"Anna-Seghers-Straße 117, 12489 Berlin, Germany"
161,900195506,Anne-Frank-Str. (Berlin),52.409152,13.53442,False,True,"Anne-Frank-Str., 12524 Berlin, Germany"
